model,model_id,site,method,seed,sequence,nll,tokens_scored,weight_fold_max_relative_error
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,6,1.7734375,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,7,2.4375,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,8,2.625,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,9,2.703125,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,10,2.546875,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,11,2.625,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,12,2.5,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,13,2.765625,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,14,2.671875,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,15,2.5625,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,16,2.90625,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,17,2.71875,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,18,2.46875,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,19,2.265625,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,20,2.453125,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,21,2.84375,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,22,2.53125,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,23,2.671875,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,24,2.6875,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,25,2.765625,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,26,2.84375,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,27,3.03125,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,28,2.78125,2047,0.003942152950912714
