model,model_id,site,method,seed,sequence,nll,tokens_scored,rotation_only_nll,weight_fold_max_relative_error
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,100,2.0550625324249268,2047,2.0550625324249268,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,101,2.183797597885132,2047,2.183797597885132,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,102,2.5122616291046143,2047,2.5122616291046143,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,103,2.176252603530884,2047,2.176252603530884,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,104,2.4556996822357178,2047,2.4556996822357178,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,105,2.149631977081299,2047,2.149631977081299,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,106,2.3382515907287598,2047,2.3382515907287598,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,107,2.2680721282958984,2047,2.2680721282958984,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,108,2.040921688079834,2047,2.040921688079834,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,109,2.2223269939422607,2047,2.2223269939422607,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,110,2.0874288082122803,2047,2.0874288082122803,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,111,1.9571789503097534,2047,1.9571789503097534,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,112,1.9173492193222046,2047,1.9173492193222046,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,113,2.045541286468506,2047,2.045541286468506,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,114,2.33402156829834,2047,2.33402156829834,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,115,2.319005250930786,2047,2.319005250930786,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,116,2.458968162536621,2047,2.458968162536621,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,117,2.2734603881835938,2047,2.2734603881835938,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,118,2.09843111038208,2047,2.09843111038208,0.0
