experiment,model,row,seed,eval_set,chunk,nll,tokens,token_sha256
32,qwen3_4b_base,hadamard,1,wt2,54,1.6881648302078247,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,55,1.8663049936294556,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,56,1.6304279565811157,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,57,1.5587435960769653,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,58,1.9115962982177734,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,59,1.8607261180877686,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,60,2.1341965198516846,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,61,2.3017852306365967,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,62,2.3821768760681152,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,63,2.6269373893737793,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,2,wt2,0,1.8230942487716675,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,2,wt2,1,2.2917728424072266,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,2,wt2,2,2.4673054218292236,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,2,wt2,3,2.2214884757995605,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,2,wt2,4,1.9760031700134277,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,2,wt2,5,1.5408693552017212,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,2,wt2,6,1.333592176437378,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
