model,row,seed,site,layer,group,group_class,observations,mean_range,scope
qwen3_4b_base,Q1_asym,0,down,2,73,anchor,131072,0.07606075864365636,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,74,anchor,131072,0.07301774940693662,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,75,anchor,131072,0.07543563798373754,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,0,anchor,131072,0.12208718191298829,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,1,anchor,131072,0.11654714736113192,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,2,anchor,131072,0.13421187768339848,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,3,anchor,131072,0.11925597979129066,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,4,anchor,131072,0.12037745930919641,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,5,anchor,131072,0.10920493056647018,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,6,anchor,131072,0.12891823236157052,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,7,anchor,131072,0.13374171619440745,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,8,anchor,131072,0.12686799273336646,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,9,anchor,131072,0.1149430496066941,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,10,anchor,131072,0.1271187099184914,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,11,anchor,131072,0.11293527230530742,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,12,anchor,131072,0.12406562448394709,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,13,anchor,131072,0.11997515888505461,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,14,anchor,131072,0.15136227336797958,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,15,anchor,131072,0.12799340527473646,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,16,anchor,131072,0.11155701212179281,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,17,anchor,131072,0.12171483109165138,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,18,anchor,131072,0.11856324516116956,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,19,anchor,131072,0.1270633781689554,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,20,anchor,131072,0.13331756426468644,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,21,anchor,131072,0.14004767451766043,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,22,anchor,131072,0.12225721570628423,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,23,anchor,131072,0.11544002936969378,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,24,anchor,131072,0.13851512456426462,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,25,anchor,131072,0.10746680091658334,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,26,anchor,131072,0.13016384385235824,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,27,anchor,131072,0.11486059815202765,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,28,anchor,131072,0.11725858325053196,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,29,anchor,131072,0.13426575568229993,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,30,anchor,131072,0.1230305445537283,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,31,anchor,131072,0.13319739283009824,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,32,anchor,131072,0.12597211837887556,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,33,anchor,131072,0.12673874540030283,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,34,anchor,131072,0.1022131525890444,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,35,anchor,131072,0.11661376902534215,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,36,anchor,131072,0.11046581896879104,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,37,anchor,131072,0.11462298243270652,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,38,anchor,131072,0.11014212668911227,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,39,anchor,131072,0.11586120548665235,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,40,anchor,131072,0.1284562444204056,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,41,anchor,131072,0.1139579693848134,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,3,42,anchor,131072,0.13103107460189278,actual_quantized_forward
