model,seed,site,layer,k,f_wt2,f_c4,f_delta,all_jaccard,all_changed_fraction,all_slots,anchor_jaccard,anchor_changed_fraction,anchor_slots,filler_jaccard,filler_changed_fraction,filler_slots,residual_jaccard,residual_changed_fraction,residual_slots
qwen3_4b_base,0,qkv,27,20,0.6308383973758437,0.6421713567499986,0.011332959374154905,0.007081038552321007,0.9859375,2560,1.0,0.0,20,,,0,0.00315955766192733,0.9937007874015749,2540
qwen3_4b_base,0,qkv,28,20,0.660090511059927,0.6695812092316579,0.009490698171730871,0.006685017695635077,0.98671875,2560,1.0,0.0,20,,,0,0.0027635215159889457,0.9944881889763779,2540
qwen3_4b_base,0,qkv,29,20,0.546715008368256,0.5565651919395441,0.009850183571288085,0.007081038552321007,0.9859375,2560,1.0,0.0,20,,,0,0.00315955766192733,0.9937007874015749,2540
qwen3_4b_base,0,qkv,30,20,0.6017911133253194,0.6174473770170643,0.015656263691744887,0.005893909626719057,0.98828125,2560,1.0,0.0,20,,,0,0.0019723865877712033,0.9960629921259843,2540
qwen3_4b_base,0,qkv,31,20,0.5726224554194055,0.5925608145220097,0.01993835910260422,0.00688298918387414,0.986328125,2560,1.0,0.0,20,,,0,0.0029615004935834156,0.9940944881889764,2540
qwen3_4b_base,0,qkv,32,20,0.5862889578256782,0.6064837681966581,0.02019481037097981,0.005893909626719057,0.98828125,2560,1.0,0.0,20,,,0,0.0019723865877712033,0.9960629921259843,2540
qwen3_4b_base,0,qkv,33,20,0.5146374913665925,0.5284231290703659,0.01378563770377339,0.008072455207718056,0.983984375,2560,1.0,0.0,20,,,0,0.004151017987744613,0.9917322834645669,2540
qwen3_4b_base,0,qkv,34,20,0.6067534683652103,0.6310812349174735,0.024327766552263208,0.00747737111373475,0.98515625,2560,1.0,0.0,20,,,0,0.0035559067562228367,0.9929133858267717,2540
qwen3_4b_base,0,qkv,35,20,0.6364659282954439,0.6620794677239986,0.02561353942855471,0.006289308176100629,0.9875,2560,1.0,0.0,20,,,0,0.0023677979479084454,0.9952755905511811,2540
qwen3_4b_base,0,down,0,76,0.24686632489254273,0.20047715216037118,-0.04638917273217155,0.004491713562909804,0.9910567434210527,9728,1.0,0.0,76,,,0,0.0005701549784896076,0.9988603398259428,9652
qwen3_4b_base,0,down,1,76,0.5015648100859205,0.45616366621079063,-0.045401143875129835,0.004232476514916899,0.9915707236842105,9728,1.0,0.0,76,,,0,0.00031091304798424707,0.9993783671777869,9652
qwen3_4b_base,0,down,2,76,0.2797805617982814,0.215964264689615,-0.06381629710866643,0.004388002684425171,0.9912623355263158,9728,1.0,0.0,76,,,0,0.000466442083441306,0.9990675507666805,9652
qwen3_4b_base,0,down,3,76,0.25880121505094833,0.171126033459787,-0.08767518159116133,0.004076998503380296,0.9918791118421053,9728,1.0,0.0,76,,,0,0.00015543236101756385,0.9996891835888935,9652
qwen3_4b_base,0,down,4,76,0.2641454688053489,0.18342737468919046,-0.08071809411615843,0.004232476514916899,0.9915707236842105,9728,1.0,0.0,76,,,0,0.00031091304798424707,0.9993783671777869,9652
qwen3_4b_base,0,down,5,76,0.20278669488152976,0.13923372972682305,-0.06355296515470671,0.0039733732390732236,0.9920847039473685,9728,1.0,0.0,76,,,0,5.1805418846811377e-05,0.9998963945296312,9652
qwen3_4b_base,0,down,6,76,0.9754993291036753,0.9758660144640843,0.00036668536040895816,0.0039733732390732236,0.9920847039473685,9728,1.0,0.0,76,,,0,5.1805418846811377e-05,0.9998963945296312,9652
qwen3_4b_base,0,down,7,76,0.13537534405940424,0.09398145051851456,-0.04139389354088968,0.004076998503380296,0.9918791118421053,9728,1.0,0.0,76,,,0,0.00015543236101756385,0.9996891835888935,9652
qwen3_4b_base,0,down,8,76,0.14215807562195795,0.08569584619858163,-0.05646222942337632,0.004025183197440396,0.9919819078947368,9728,1.0,0.0,76,,,0,0.00010361620557455187,0.9997927890592623,9652
