model,row,site,layer,seed,group,m,k,s_meas,s_hadamard,f_calibration,f_test_capture,s_pred,relative_error,observations,groups_measured,f_definition
qwen3_4b_base,E22_kmax,qkv,8,2,128,1,20,0.06787916756496379,0.09383831550986485,0.4780736415191835,0.474787267088578,0.06779299460124087,-0.0012695053108959316,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,down,8,0,128,1,8,0.03767589949550735,0.04465956096295028,0.04716823154783969,0.047203509693777394,0.04359358280114246,0.1570681359934289,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,down,8,1,128,1,8,0.03767788048452233,0.044657001086722145,0.04716823154783969,0.047203509730107694,0.04359108402654849,0.15694098144547275,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,down,8,2,128,1,8,0.03767814863630965,0.0446574223932465,0.04716823154783969,0.04720350974353097,0.043591495276915894,0.1569436624311119,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,down,8,0,128,1,76,0.03634904262238949,0.04465956096295028,0.1419071063597379,0.13070781780611682,0.04136962669456949,0.1381214939919086,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,down,8,1,128,1,76,0.03634493149173641,0.044657001086722145,0.1419071063597379,0.13070781781603039,0.04136725539665122,0.13818498752863817,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,down,8,2,128,1,76,0.03634999528953709,0.0446574223932465,0.1419071063597379,0.13070781781344148,0.041367645666803024,0.138037167193532,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,qkv,9,0,128,1,8,0.07637620164330503,0.10133418295509884,0.4218951543848849,0.42031215894469415,0.07704762835130008,0.008791046079127843,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,qkv,9,1,128,1,8,0.07633681813070084,0.10087754500634176,0.4218951543848849,0.4203121588948409,0.07670043187780086,0.004763281415233402,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,qkv,9,2,128,1,8,0.07636166746522921,0.10068159950306566,0.4218951543848849,0.4203121588228824,0.07655144822911228,0.0024852883676156476,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,qkv,9,0,128,1,20,0.07274437573719297,0.10133418295509884,0.47953824179497057,0.47664764735850923,0.07310555565945633,0.004965056316768788,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,qkv,9,1,128,1,20,0.07272818691139235,0.10087754500634176,0.47953824179497057,0.47664764747374255,0.07277612318163319,0.0006591154307097561,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,qkv,9,2,128,1,20,0.07275551671526692,0.10068159950306566,0.47953824179497057,0.4766476472089889,0.07263476214749609,-0.001659730742390454,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,down,9,0,128,1,8,0.04262449332613297,0.05139752405017464,0.08065591800506187,0.06700907355382409,0.04928119619106062,0.15617083853631272,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,down,9,1,128,1,8,0.04261964564121833,0.051394908050357034,0.08065591800506187,0.06700907354658385,0.04927868790680705,0.1562434920657486,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,down,9,2,128,1,8,0.04262119336485357,0.051392525355907805,0.08065591800506187,0.0670090735711186,0.04927640332141533,0.1561479027485372,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,down,9,0,128,1,76,0.04059471277448159,0.05139752405017464,0.21864119032520285,0.2004449630475145,0.045432585752772134,0.11917495278675062,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,down,9,1,128,1,76,0.040592526407052965,0.051394908050357034,0.21864119032520285,0.20044496307671314,0.04543027335274433,0.1191782668853743,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,down,9,2,128,1,76,0.04059402644001107,0.051392525355907805,0.21864119032520285,0.20044496309277196,0.04542816718183653,0.11908502717682481,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,qkv,10,0,128,1,8,0.09596570780916594,0.1289732617992449,0.4697113829522111,0.4647499525648605,0.09391951385536995,-0.02132213683939036,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,qkv,10,1,128,1,8,0.09599840771755871,0.1297340793009049,0.4697113829522111,0.46474995278656483,0.09447354814815065,-0.015884217308003948,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,qkv,10,2,128,1,8,0.09601900039072434,0.12993657527656027,0.4697113829522111,0.4647499526113359,0.09462100757753862,-0.014559543501775128,131072,2621440,saved factor eigenvalue sum / calibration trace
