model,row,seed,site,layer,rank,residual_group_energy_max_median,captured_fraction
qwen3_4b_base,P1_k8,2,down,30,8,1.0056499486356976,0.1501154639786493
qwen3_4b_base,P1_k8,2,down,31,8,1.0024641470780413,0.2026771341994276
qwen3_4b_base,P1_k8,2,down,32,8,1.0053216009413564,0.12195406427877817
qwen3_4b_base,P1_k8,2,down,33,8,1.0029498351814754,0.20979152328080367
qwen3_4b_base,P1_k8,2,down,34,8,1.001525701344584,0.41108382808214516
qwen3_4b_base,P1_k8,2,down,35,8,12.446798271536988,0.9221544341003804
qwen3_4b_base,P2_k8,0,qkv,0,8,3.4650046084009904,0.4680118808035058
qwen3_4b_base,P2_k8,0,qkv,1,8,6.90245102659476,0.4158786010576637
qwen3_4b_base,P2_k8,0,qkv,2,8,3.2235955407035,0.2752293688989568
qwen3_4b_base,P2_k8,0,qkv,3,8,6.359873378346465,0.35479744666074425
qwen3_4b_base,P2_k8,0,qkv,4,8,3.1149203906135052,0.27676972361728663
qwen3_4b_base,P2_k8,0,qkv,5,8,4.128579397842758,0.3835816746669607
qwen3_4b_base,P2_k8,0,qkv,6,8,5.1367666052768115,0.36164833276416036
qwen3_4b_base,P2_k8,0,qkv,7,8,6.733967910668356,0.5031016978618433
qwen3_4b_base,P2_k8,0,qkv,8,8,3.9549332810429165,0.42330288374449354
qwen3_4b_base,P2_k8,0,qkv,9,8,5.105027630526161,0.42210857098568355
qwen3_4b_base,P2_k8,0,qkv,10,8,3.584454313175284,0.46988497303377713
qwen3_4b_base,P2_k8,0,qkv,11,8,4.556844474013658,0.45843779629794496
qwen3_4b_base,P2_k8,0,qkv,12,8,5.976179500766188,0.49361874153978264
qwen3_4b_base,P2_k8,0,qkv,13,8,6.102602818465554,0.4487740018710323
qwen3_4b_base,P2_k8,0,qkv,14,8,4.954422810971781,0.5341087013340866
qwen3_4b_base,P2_k8,0,qkv,15,8,6.394026134783705,0.5361170542999386
qwen3_4b_base,P2_k8,0,qkv,16,8,4.453086789710097,0.48041311134108144
qwen3_4b_base,P2_k8,0,qkv,17,8,5.803946845486438,0.47978108292242627
