model,solver,site,layer,k,captured_fraction,ritz_residual_median,ritz_residual_max,principal_angle_max_deg
qwen3_4b_base,S2,down,4,76,0.22397078334686332,0.5299251845017843,0.642963203064717,87.36832891859622
qwen3_4b_base,S3,down,4,76,0.2641454688053489,0.17364701374112618,0.31764603043762263,88.50817833788503
qwen3_4b_base,S4,down,4,76,0.2747136469537958,4.24207150521817e-15,2.5703053772074847e-14,8.790137685928292e-06
qwen3_4b_base,S1,down,5,76,0.00828271123335712,2.090627439531846,7.278687065229759,89.95670323640692
qwen3_4b_base,S2,down,5,76,0.16645494873586836,0.5641185679090454,0.685594819351127,88.96805513901458
qwen3_4b_base,S3,down,5,76,0.20278669488152976,0.20560943202601573,0.3181512526298616,84.25316149319583
qwen3_4b_base,S4,down,5,76,0.21309406094244898,3.9028471218659144e-15,6.1047319206585645e-15,9.035490975690211e-06
qwen3_4b_base,S1,down,6,76,0.009317751523553639,1.7535270691251732,10.287552763126715,89.96724385243171
qwen3_4b_base,S2,down,6,76,0.9745381234292317,0.6059118905336804,0.6699076661643554,89.49175246433839
qwen3_4b_base,S3,down,6,76,0.9754993291036753,0.20551969184240448,0.33799174102013774,89.28042321399252
qwen3_4b_base,S4,down,6,76,0.9757823697365504,1.8699850340124286e-12,1.5894780706106486e-11,8.144481502960801e-06
qwen3_4b_base,S1,down,7,76,0.008229624946052718,1.6404001305830347,5.868824125917304,89.99854273213428
qwen3_4b_base,S2,down,7,76,0.1023391596380829,0.6145108425814783,0.6857504005580556,89.82398444615778
qwen3_4b_base,S3,down,7,76,0.13537534405940424,0.22404977552063354,0.3289303268937375,89.70050953655866
qwen3_4b_base,S4,down,7,76,0.14567118515616462,3.8443415344832766e-15,9.391639037458481e-15,9.155702348202483e-06
qwen3_4b_base,S1,down,8,76,0.008208107163105598,1.7087073869561178,5.8579037754459025,89.88991909711099
qwen3_4b_base,S2,down,8,76,0.10845072806883453,0.6064853450376708,0.7072751521299848,89.83348259510578
qwen3_4b_base,S3,down,8,76,0.14215807562195795,0.22766566251476034,0.33520877333486804,89.97139106503059
qwen3_4b_base,S4,down,8,76,0.15220244435369115,3.336207798238338e-15,4.249480963019222e-15,8.790137685928292e-06
qwen3_4b_base,S1,down,9,76,0.0083358675535858,2.273679330422314,7.0950000242695825,89.9934334059241
qwen3_4b_base,S2,down,9,76,0.17877750189180672,0.5656452859140453,0.6886647736590623,89.99062836802261
qwen3_4b_base,S3,down,9,76,0.21806841191181214,0.1907164775258526,0.32518414206774654,84.74132641441783
qwen3_4b_base,S4,down,9,76,0.22810402188713494,3.7567533475816344e-15,2.2145306585870988e-14,1.024528375501914e-05
qwen3_4b_base,S1,down,10,76,0.008476696994709468,2.473300820637037,7.228733674329848,89.92689325142408
qwen3_4b_base,S2,down,10,76,0.20212746126269296,0.5309555969384812,0.7077142811184236,88.78448156981192
qwen3_4b_base,S3,down,10,76,0.2426619964066434,0.16926287175367957,0.3179211292366941,88.3600005041833
qwen3_4b_base,S4,down,10,76,0.2524215872936573,3.683987893902245e-15,8.527425277662241e-15,8.233494873389921e-06
qwen3_4b_base,S1,down,11,76,0.00832458688218838,2.407168491899228,7.909808930108186,89.96693043842501
qwen3_4b_base,S2,down,11,76,0.19057516727478208,0.5215086408072622,0.7000082587063499,88.58551874224574
qwen3_4b_base,S3,down,11,76,0.22928104076160688,0.1720521343631981,0.32354147369864134,87.75516721917926
qwen3_4b_base,S4,down,11,76,0.23958476871771175,3.490961257592044e-15,4.793921924732724e-15,8.99506352021738e-06
qwen3_4b_base,S1,down,12,76,0.008316904941511752,2.25884905995959,8.282319907010283,89.90998873277124
qwen3_4b_base,S2,down,12,76,0.20287644326099513,0.5286647235875476,0.6855624758100455,88.92954086761448
qwen3_4b_base,S3,down,12,76,0.23979953164658127,0.19243418456145628,0.3114821855597054,89.2949898805511
qwen3_4b_base,S4,down,12,76,0.24976112963013697,4.39156679853913e-15,1.0777128513821672e-14,9.919953340089628e-06
qwen3_4b_base,S1,down,13,76,0.008359808538924986,2.0889909415140644,7.464919549089434,89.9787951352976
qwen3_4b_base,S2,down,13,76,0.16462550086628866,0.5656352059980548,0.6945756215022508,89.01817407933972
qwen3_4b_base,S3,down,13,76,0.20085026328001135,0.19264064872109118,0.3163911053769104,87.60005040803908
qwen3_4b_base,S4,down,13,76,0.21100623075483727,4.006675887799631e-15,1.0594397832607735e-14,9.583585410390605e-06
qwen3_4b_base,S1,down,14,76,0.008263363315630089,2.0085945255216577,7.416505052404827,89.91849192630974
qwen3_4b_base,S2,down,14,76,0.16695130178779644,0.5730231029067341,0.6823010728890925,89.88467286618088
qwen3_4b_base,S3,down,14,76,0.20293398663345222,0.1983216297139771,0.3232070421418716,89.39458308439646
qwen3_4b_base,S4,down,14,76,0.21231090213608142,3.679376138846718e-15,4.813187281057035e-15,8.99506352021738e-06
qwen3_4b_base,S1,down,15,76,0.008328882530598767,1.8992619053968012,7.554142473810823,89.93270255275449
qwen3_4b_base,S2,down,15,76,0.1843755765316962,0.5834709874597134,0.6932449082754006,88.81563170301679
qwen3_4b_base,S3,down,15,76,0.2177719760758802,0.19895997839018387,0.3295414494266505,88.14006959581268
qwen3_4b_base,S4,down,15,76,0.22632426148709522,4.350854816858056e-15,1.5046465937430104e-14,8.831503268221699e-06
qwen3_4b_base,S1,down,16,76,0.00939644249630159,2.0691489704988,10.257687834192854,89.98796009852941
qwen3_4b_base,S2,down,16,76,0.9880468286021834,0.5737656769800556,0.7186374085974311,89.18715962994906
qwen3_4b_base,S3,down,16,76,0.9885551026854682,0.18901032601900714,0.3095735862520247,89.58294717488953
qwen3_4b_base,S4,down,16,76,0.9886850442351096,5.060069882283328e-12,3.025940233101729e-11,9.77188602642399e-06
qwen3_4b_base,S1,down,17,76,0.00825544354245661,2.1238337630924473,8.515156029946791,89.98314076997704
qwen3_4b_base,S2,down,17,76,0.19060037725115733,0.5584884729288775,0.6848668805403504,89.75063163815561
qwen3_4b_base,S3,down,17,76,0.22611791691462074,0.1853032190289045,0.2956991876758586,89.18114442064353
qwen3_4b_base,S4,down,17,76,0.23491509445521405,4.312013059480188e-15,1.1952345172879757e-14,9.115808030550376e-06
qwen3_4b_base,S1,down,18,76,0.008218027480698888,2.0914212318255228,7.918348753311989,89.99523059832035
