model,row,site,layer,seed,round_trip,tolerance
qwen3_4b_base,E22_kmax,down,19,0,2.1075308609397325e-07,1e-06
qwen3_4b_base,E22_kmax,down,19,1,2.1046319886863785e-07,1e-06
qwen3_4b_base,E22_kmax,down,19,2,2.1104371228375385e-07,1e-06
qwen3_4b_base,E22_k8,qkv,20,0,1.5284503263046645e-07,1e-06
qwen3_4b_base,E22_k8,qkv,20,1,1.4712061613408878e-07,1e-06
qwen3_4b_base,E22_k8,qkv,20,2,1.4930668612578302e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,20,0,1.657113983810632e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,20,1,1.671726010954444e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,20,2,1.6537246949610562e-07,1e-06
qwen3_4b_base,E22_k8,down,20,0,1.29346233279648e-07,1e-06
qwen3_4b_base,E22_k8,down,20,1,1.2889913136859832e-07,1e-06
qwen3_4b_base,E22_k8,down,20,2,1.312268693709484e-07,1e-06
qwen3_4b_base,E22_kmax,down,20,0,2.128297893477793e-07,1e-06
qwen3_4b_base,E22_kmax,down,20,1,2.131275351757722e-07,1e-06
qwen3_4b_base,E22_kmax,down,20,2,2.1092994018090394e-07,1e-06
qwen3_4b_base,E22_k8,qkv,21,0,1.3693826872440695e-07,1e-06
qwen3_4b_base,E22_k8,qkv,21,1,1.379362970510556e-07,1e-06
qwen3_4b_base,E22_k8,qkv,21,2,1.3598356929378497e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,21,0,1.5857725088608277e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,21,1,1.5992674207154778e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,21,2,1.6122382362482313e-07,1e-06
qwen3_4b_base,E22_k8,down,21,0,1.378626564019214e-07,1e-06
qwen3_4b_base,E22_k8,down,21,1,1.3687912314708228e-07,1e-06
qwen3_4b_base,E22_k8,down,21,2,1.3577621871263545e-07,1e-06
qwen3_4b_base,E22_kmax,down,21,0,2.2080332939822256e-07,1e-06
qwen3_4b_base,E22_kmax,down,21,1,2.1843753472694516e-07,1e-06
qwen3_4b_base,E22_kmax,down,21,2,2.1979282394113397e-07,1e-06
qwen3_4b_base,E22_k8,qkv,22,0,1.5000567543665966e-07,1e-06
qwen3_4b_base,E22_k8,qkv,22,1,1.5165558409080404e-07,1e-06
qwen3_4b_base,E22_k8,qkv,22,2,1.4920213686764328e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,22,0,1.537922287297988e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,22,1,1.5344535597705544e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,22,2,1.5288523513845576e-07,1e-06
qwen3_4b_base,E22_k8,down,22,0,1.4260216119055258e-07,1e-06
qwen3_4b_base,E22_k8,down,22,1,1.4235330070277996e-07,1e-06
qwen3_4b_base,E22_k8,down,22,2,1.435801806337622e-07,1e-06
qwen3_4b_base,E22_kmax,down,22,0,2.266862537680936e-07,1e-06
qwen3_4b_base,E22_kmax,down,22,1,2.2539219912687258e-07,1e-06
qwen3_4b_base,E22_kmax,down,22,2,2.2423448342578922e-07,1e-06
qwen3_4b_base,E22_k8,qkv,23,0,1.4608916387714999e-07,1e-06
qwen3_4b_base,E22_k8,qkv,23,1,1.4680222193419468e-07,1e-06
qwen3_4b_base,E22_k8,qkv,23,2,1.484156229025757e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,23,0,1.6632297672458662e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,23,1,1.6166320904176246e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,23,2,1.6410007219747058e-07,1e-06
qwen3_4b_base,E22_k8,down,23,0,1.3516260821688775e-07,1e-06
qwen3_4b_base,E22_k8,down,23,1,1.3340712712306413e-07,1e-06
qwen3_4b_base,E22_k8,down,23,2,1.3440374857509596e-07,1e-06
qwen3_4b_base,E22_kmax,down,23,0,2.0179551540877583e-07,1e-06
qwen3_4b_base,E22_kmax,down,23,1,2.0222910279699136e-07,1e-06
