model,row,site,layer,group,m,k,s_meas,s_meas_ci90_low,s_meas_ci90_high,s_hadamard,s_hadamard_ci90_low,s_hadamard_ci90_high,s_pred,s_pred_ci90_low,s_pred_ci90_high,relative_error,relative_error_ci90_low,relative_error_ci90_high,f_calibration,f_calibration_ci90_low,f_calibration_ci90_high,f_test_capture,f_test_capture_ci90_low,f_test_capture_ci90_high,seeds,observations_per_seed
llama31_8b,E11_g128_k16,qkv,2,128,1,16,0.10453108930386712,0.1044872647663467,0.10457491384138753,0.14019262093039822,0.14005432036790202,0.14033092149289442,0.11181759094121595,0.11170728245549459,0.1119278994269373,0.06970669817050883,0.06820321547921726,0.07121018086180039,0.36383473511675984,0.36383473511675973,0.36383473511675996,0.3617504307122093,0.3617504306109464,0.3617504308134722,3,131072
llama31_8b,E11_g128_k16,qkv,20,128,1,16,0.1466333876439864,0.1465729278423094,0.14669384744566338,0.1796633017059944,0.17948790269529802,0.17983870071669078,0.1485137526087114,0.14836876381559103,0.1486587414018318,0.012823527939352819,0.01222830149815064,0.013418754380554999,0.31669501249898335,0.31669501249898335,0.31669501249898335,0.31026121291265607,0.31026121284677616,0.310261212978536,3,131072
llama31_8b,E11_g128_k16,qkv,21,128,1,16,0.1438554721635743,0.1437863921124317,0.14392455221471692,0.17667623441189248,0.17657744457186383,0.17677502425192113,0.1455277704529939,0.14544639750993432,0.14560914339605346,0.011624868240245141,0.011133780956400066,0.012115955524090217,0.32152244846185496,0.32152244846185496,0.32152244846185496,0.3137361859112073,0.313736185864057,0.31373618595835756,3,131072
llama31_8b,E11_g128_k16,qkv,22,128,1,16,0.1499433231840787,0.14992883454336897,0.1499578118247884,0.1862853501408465,0.18614756250120215,0.18642313778049083,0.15208403169827076,0.15197154137233018,0.15219652202421133,0.014276796076895207,0.013468560166514749,0.015085031987275664,0.3334851512484917,0.3334851512484917,0.3334851512484917,0.3254735839035219,0.32547358387361697,0.3254735839334268,3,131072
llama31_8b,E11_g128_k16,qkv,23,128,1,16,0.15051907248686222,0.15049628954373753,0.1505418554299869,0.18241800429053137,0.1823709043215557,0.18246510425950704,0.15181306889487586,0.15177387105986578,0.15185226672988594,0.008596890241203754,0.008462434611279922,0.008731345871127586,0.30739931139989324,0.30739931139989324,0.30739931139989324,0.2976961274902743,0.29769612746835444,0.29769612751219415,3,131072
llama31_8b,E11_g128_k16,qkv,24,128,1,16,0.15149748566322696,0.15148680997861172,0.1515081613478422,0.18580615163640837,0.1856531334120813,0.18595916986073543,0.15282224778271722,0.1526963930207116,0.15294810254472282,0.008744464385230808,0.007842949167507966,0.00964597960295365,0.32352307130773855,0.32352307130773855,0.32352307130773855,0.3128953578448585,0.3128953577450678,0.3128953579446492,3,131072
llama31_8b,E11_g128_k16,qkv,25,128,1,16,0.15239840957996917,0.1523790917531716,0.15241772740676673,0.18626257271322308,0.18595647638499616,0.18656866904145,0.1532166449832039,0.1529648549871277,0.1534684349792801,0.005369011542863824,0.003838309923172219,0.006899713162555429,0.3233552726148671,0.3233552726148671,0.3233552726148671,0.31162474566760173,0.31162474557044983,0.31162474576475363,3,131072
llama31_8b,E11_g128_k16,qkv,26,128,1,16,0.14759251540240648,0.14755386137467616,0.1476311694301368,0.1839027576175365,0.1837407865707112,0.1840647286643618,0.14894115522327303,0.14880997635929397,0.1490723340872521,0.009137553949446419,0.00849397018660849,0.009781137712284347,0.3440768591852113,0.3440768591852113,0.3440768591852113,0.33492463571663594,0.33492463565933295,0.33492463577393894,3,131072
llama31_8b,E11_g128_k16,qkv,27,128,1,16,0.1542083066811545,0.1541988612950085,0.1542177520673005,0.18813849302688723,0.18796816050441906,0.1883088255493554,0.15523217199553394,0.1550916314448002,0.15537271254626767,0.006639507227865708,0.0056751976485548,0.0076038168071766166,0.3192178717841744,0.3192178717841744,0.3192178717841744,0.3082518264224094,0.3082518263357239,0.3082518265090949,3,131072
llama31_8b,E11_g128_k16,qkv,28,128,1,16,0.1497896157698421,0.14977591328399642,0.14980331825568777,0.18659254071207818,0.18635404801240332,0.18683103341175303,0.15015797800698572,0.14996605403502017,0.15034990197895126,0.002459196624949261,0.0011839043966189735,0.003734488853279549,0.35239787286330443,0.35239787286330443,0.35239787286330443,0.33901647944761065,0.33901647933941736,0.33901647955580394,3,131072
