model,layer,b,bits,method,axis,mean_group_range,relative_quantization_error_nmse,range_sum,group_count,error_sum,energy_sum,sequences,sequence_length
llama32_3b,14,32,4,kivi_per_channel,tokens,4.185217606061826,0.0017096672522526814,35108149.891951084,8388608,1839044.383287743,1075673866.282806,128,2048
llama32_3b,14,64,4,bf16,channels,12.051938243210316,0.0,50549492.78125,4194304,0.0,1075673866.282806,128,2048
llama32_3b,14,64,4,identity_per_token,channels,12.051938243210316,0.014811215394247063,50549492.78125,4194304,15932037.327477152,1075673866.282806,128,2048
llama32_3b,14,64,4,hadamard_per_token,channels,9.171698649395921,0.007787465846939554,38468892.33195591,4194304,8376773.244462635,1075673833.9667554,128,2048
llama32_3b,14,64,4,nar_per_token,channels,7.832366010770329,0.005727104885706933,32851324.088438034,4194304,6160497.056649577,1075673866.568125,128,2048
llama32_3b,14,64,4,kivi_per_channel,tokens,4.962903046167526,0.0024466347129680436,20815924.098152637,4194304,2631781.0210800585,1075673866.282806,128,2048
llama32_3b,15,32,4,bf16,channels,8.706497729872353,0.0,73035396.50878906,8388608,0.0,987611737.8291218,128,2048
llama32_3b,15,32,4,identity_per_token,channels,8.706497729872353,0.008489485608650954,73035396.50878906,8388608,8384315.635235089,987611737.8291218,128,2048
llama32_3b,15,32,4,hadamard_per_token,channels,7.842073901190702,0.006016127716845653,65784083.86411953,8388608,5941598.17096122,987611708.1630857,128,2048
llama32_3b,15,32,4,nar_per_token,channels,6.46241988728616,0.004145906515745129,54210707.16584778,8388608,4094545.9432516703,987611738.8806515,128,2048
llama32_3b,15,32,4,kivi_per_channel,tokens,4.081423875675696,0.0018022668887247174,34237464.97488415,8388608,1779939.9340053024,987611737.8291217,128,2048
llama32_3b,15,64,4,bf16,channels,11.674598931334913,0.0,48966816.99609375,4194304,0.0,987611737.8291218,128,2048
llama32_3b,15,64,4,identity_per_token,channels,11.674598931334913,0.014441754063243311,48966816.99609375,4194304,14262845.827700507,987611737.8291218,128,2048
