experiment,model,row,seed,site,layer,round_trip,anchor_residual
32,llama32_3b,S3,2,down,26,1.1605795435798427e-07,9.301901826574976e-08
32,llama32_3b,S3,2,down,27,1.165596472674224e-07,9.356077868005741e-08
32,llama32_3b,S4,0,qkv,0,1.1552580758689146e-07,9.356017471873201e-08
32,llama32_3b,S4,0,qkv,1,1.1582752534877727e-07,9.338740625253195e-08
32,llama32_3b,S4,0,qkv,2,1.1648759823401633e-07,9.260482869422049e-08
32,llama32_3b,S4,0,qkv,3,1.1745701300469591e-07,9.417816926315936e-08
32,llama32_3b,S4,0,qkv,4,1.1663056653787862e-07,9.477798812440597e-08
32,llama32_3b,S4,0,qkv,5,1.1530435983786447e-07,9.253630395278378e-08
32,llama32_3b,S4,0,qkv,6,1.1712310055145281e-07,9.307142079251207e-08
32,llama32_3b,S4,0,qkv,7,1.1794296739253696e-07,9.335280282130043e-08
32,llama32_3b,S4,0,qkv,8,1.1597597904255963e-07,9.346311458102718e-08
32,llama32_3b,S4,0,qkv,9,1.160540961109291e-07,9.275542822706484e-08
32,llama32_3b,S4,0,qkv,10,1.1603372485069485e-07,9.57718100380589e-08
32,llama32_3b,S4,0,qkv,11,1.1617886030990121e-07,9.556369917618213e-08
32,llama32_3b,S4,0,qkv,12,1.1622405082789555e-07,9.438833359354248e-08
32,llama32_3b,S4,0,qkv,13,1.1584057091340583e-07,9.48088185737106e-08
32,llama32_3b,S4,0,qkv,14,1.159090174951416e-07,9.340822515468972e-08
