model,layer,rank,eigenvalue,fraction_total,cumulative_fraction
llama32_3b,2,38,2.1891606040490994,0.005105450974947903,0.6914259534269628
llama32_3b,2,39,2.1834015995955234,0.005092020112521521,0.6965179735394843
llama32_3b,2,40,2.144404433477424,0.005001072870272779,0.701519046409757
llama32_3b,2,41,2.1396531850975453,0.004989992246206913,0.706509038655964
llama32_3b,2,42,2.1316469365146316,0.004971320473310165,0.7114803591292741
llama32_3b,2,43,2.1287493326523035,0.0049645628263670525,0.7164449219556411
llama32_3b,2,44,2.112786941089685,0.004927336134357733,0.7213722580899989
llama32_3b,2,45,2.0867340178455045,0.004866576808554399,0.7262388348985535
llama32_3b,2,46,2.082914790261254,0.004857669796817802,0.7310965046953712
llama32_3b,2,47,2.079505867089615,0.0048497196765306125,0.7359462243719018
llama32_3b,2,48,2.0768628887184235,0.004843555854435053,0.7407897802263368
llama32_3b,2,49,2.074980955636425,0.004839166904135791,0.7456289471304726
llama32_3b,2,50,2.056373039494903,0.0047957704518925125,0.7504247175823652
llama32_3b,2,51,2.046516543550691,0.0047727836245510784,0.7551975012069161
llama32_3b,2,52,2.045052710028526,0.004769369745154072,0.7599668709520702
llama32_3b,2,53,2.0421523393916665,0.004762605645677645,0.7647294765977479
llama32_3b,2,54,2.017653357243445,0.0047054703436525125,0.7694349469414004
llama32_3b,2,55,2.013555783676837,0.004695914187323978,0.7741308611287244
llama32_3b,2,56,2.010259612879013,0.0046882270224891005,0.7788190881512136
llama32_3b,2,57,2.0092235235239775,0.004685810706665577,0.7835048988578792
llama32_3b,2,58,1.9868038152840197,0.0046335245833541905,0.7881384234412334
llama32_3b,2,59,1.931569509921676,0.0045047098962813625,0.7926431333375148
llama32_3b,2,60,1.921407531938447,0.004481010638992557,0.7971241439765072
llama32_3b,2,61,1.9210243365658697,0.004480116969891761,0.801604260946399
llama32_3b,2,62,1.9172697432773838,0.004471360695030164,0.8060756216414292
llama32_3b,2,63,1.895700631321093,0.004421058289869791,0.810496679931299
llama32_3b,2,64,1.890766544390625,0.004409551258872137,0.814906231190171
llama32_3b,2,65,1.8870434310774855,0.004400868400036083,0.8193070995902071
llama32_3b,2,66,1.8814295898163111,0.004387776079953648,0.8236948756701608
llama32_3b,2,67,1.878762676020983,0.0043815564368579,0.8280764321070186
llama32_3b,2,68,1.823498643290715,0.004252672421102986,0.8323291045281218
llama32_3b,2,69,1.779462171856829,0.004149972762795799,0.8364790772909176
llama32_3b,2,70,1.7485479163174984,0.0040778760807199665,0.8405569533716376
llama32_3b,2,71,1.7266894871114689,0.0040268989443260714,0.8445838523159637
llama32_3b,2,72,1.7027464258102445,0.003971060133122601,0.8485549124490862
llama32_3b,2,73,1.6854935918043352,0.0039308239357265925,0.8524857363848126
llama32_3b,2,74,1.655560949125991,0.003861016522116891,0.8563467529069296
llama32_3b,2,75,1.6462278188467607,0.003839250262028308,0.8601860031689579
llama32_3b,2,76,1.6320244141047922,0.003806125791190792,0.8639921289601488
llama32_3b,2,77,1.569687806576455,0.003660747469887256,0.867652876430036
llama32_3b,2,78,1.555061136943974,0.003626635881821369,0.8712795123118572
llama32_3b,2,79,1.5393707980207316,0.0035900436573839452,0.8748695559692411
llama32_3b,2,80,1.506991391688689,0.0035145300238385584,0.8783840859930798
llama32_3b,2,81,1.4817125669284563,0.003455576011840098,0.88183966200492
llama32_3b,2,82,1.477215914765434,0.0034450891443497727,0.8852847511492699
llama32_3b,2,83,1.4562517121233465,0.0033961974784664727,0.8886809486277362
llama32_3b,2,84,1.4452895882141963,0.003370632160830136,0.8920515807885665
llama32_3b,2,85,1.433765742555155,0.003343756823796261,0.8953953376123627
llama32_3b,2,86,1.4320971182953417,0.0033398653416736933,0.8987352029540364
llama32_3b,2,87,1.398788798552281,0.0032621853426861584,0.9019973882967226
llama32_3b,2,88,1.384356294655865,0.0032285265782480404,0.9052259148749705
llama32_3b,2,89,1.356170539746498,0.0031627931690063845,0.9083887080439769
llama32_3b,2,90,1.352666718291447,0.003154621731684405,0.9115433297756612
llama32_3b,2,91,1.33078356404902,0.0031035869327960598,0.9146469167084573
llama32_3b,2,92,1.3139902317064764,0.003064422362219428,0.9177113390706768
llama32_3b,2,93,1.2951269511717391,0.003020430361898089,0.920731769432575
llama32_3b,2,94,1.2765155298404218,0.0029770257350263144,0.9237087951676013
llama32_3b,2,95,1.2477954800952673,0.0029100462700657513,0.9266188414376669
llama32_3b,2,96,1.2441486793632746,0.002901541383618336,0.9295203828212852
llama32_3b,2,97,1.225147783232331,0.002857228443079765,0.932377611264365
llama32_3b,2,98,1.1866953707573893,0.0027675516480578834,0.9351451629124229
llama32_3b,2,99,1.1833345153939527,0.0027597136291111785,0.9379048765415341
llama32_3b,2,100,1.1747253991055708,0.002739635878275236,0.9406445124198093
llama32_3b,2,101,1.1515731081259917,0.002685641262103476,0.9433301536819129
llama32_3b,2,102,1.145623073332904,0.0026717648882645002,0.9460019185701773
llama32_3b,2,103,1.1232975707101054,0.0026196984665862793,0.9486216170367636
llama32_3b,2,104,1.1135871225667557,0.0025970522446284437,0.951218669281392
llama32_3b,2,105,1.0737216017404307,0.0025040798689182683,0.9537227491503103
llama32_3b,2,106,1.0650397135118226,0.0024838324029995266,0.9562065815533098
llama32_3b,2,107,1.0464061472461899,0.002440376130818458,0.9586469576841282
llama32_3b,2,108,1.018887848039049,0.002376199328414766,0.961023157012543
