model,layer,b,method,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_hadamard,nmse_delta_vs_hadamard,sample_vectors
llama32_3b,18,32,identity,1.5300359725952148,0.006685626094697487,-0.035608922737317174,0.0005560298537635256,65536
llama32_3b,18,32,hadamard,1.4774264097213745,0.006129596240933961,0.0,0.0,65536
llama32_3b,18,32,nar,1.3816492557525635,0.005330049313371127,0.06482702173089859,-0.0007995469275628346,65536
llama32_3b,18,64,bf16,1.7949763536453247,0.0,-0.07492555938437201,-0.008021404053262179,65536
llama32_3b,18,64,identity,1.7949763536453247,0.009322003616196917,-0.07492555938437201,0.0013005995629347383,65536
llama32_3b,18,64,hadamard,1.669861078262329,0.008021404053262179,0.0,0.0,65536
llama32_3b,18,64,nar,1.5880345106124878,0.007174168658300729,0.049002021015419256,-0.0008472353949614498,65536
llama32_3b,18,128,bf16,2.081709384918213,0.0,-0.12998385907805207,-0.009872960708203985,65536
llama32_3b,18,128,identity,2.081709384918213,0.012470610442715963,-0.12998385907805207,0.0025976497345119778,65536
llama32_3b,18,128,hadamard,1.8422470092773438,0.009872960708203985,0.0,0.0,65536
llama32_3b,18,128,nar,1.7799689769744873,0.00907792080889941,0.03380547341872803,-0.0007950398993045744,65536
llama32_3b,19,32,bf16,1.5383799076080322,0.0,-0.06512922202665533,-0.00606138277014108,65536
llama32_3b,19,32,identity,1.5383799076080322,0.007328543112062568,-0.06512922202665533,0.0012671603419214883,65536
llama32_3b,19,32,hadamard,1.4443129301071167,0.00606138277014108,0.0,0.0,65536
llama32_3b,19,32,nar,1.3502285480499268,0.005297570703475324,0.06514127243201528,-0.0007638120666657562,65536
llama32_3b,19,64,bf16,1.8556628227233887,0.0,-0.13885132085123394,-0.007892250181243541,65536
llama32_3b,19,64,identity,1.8556628227233887,0.010982245388390398,-0.13885132085123394,0.003089995207146857,65536
llama32_3b,19,64,hadamard,1.6294162273406982,0.007892250181243541,0.0,0.0,65536
llama32_3b,19,64,nar,1.5599730014801025,0.007247422756677274,0.042618469544722204,-0.0006448274245662673,65536
llama32_3b,19,128,bf16,2.2505788803100586,0.0,-0.24939952899407689,-0.009754617371268716,65536
llama32_3b,19,128,identity,2.2505788803100586,0.016167635195731642,-0.24939952899407689,0.006413017824462927,65536
llama32_3b,19,128,hadamard,1.801328420639038,0.009754617371268716,0.0,0.0,65536
llama32_3b,19,128,nar,1.7646164894104004,0.00935012347038418,0.020380476324030793,-0.00040449390088453593,65536
llama32_3b,20,32,bf16,1.5621743202209473,0.0,-0.038476378794822415,-0.006110195586023786,65536
llama32_3b,20,32,identity,1.5621743202209473,0.006818490346095862,-0.038476378794822415,0.0007082947600720764,65536
llama32_3b,20,32,hadamard,1.504294514656067,0.006110195586023786,0.0,0.0,65536
llama32_3b,20,32,nar,1.4197986125946045,0.005462479495535145,0.0561697867260927,-0.0006477160904886405,65536
llama32_3b,20,64,bf16,1.8371222019195557,0.0,-0.07881664979815893,-0.008019315337574391,65536
llama32_3b,20,64,identity,1.8371222019195557,0.009644828236026195,-0.07881664979815893,0.0016255128984518034,65536
llama32_3b,20,64,hadamard,1.7029049396514893,0.008019315337574391,0.0,0.0,65536
llama32_3b,20,64,nar,1.6370820999145508,0.007409857701073872,0.03865326725190518,-0.0006094576365005188,65536
llama32_3b,20,128,bf16,2.153904914855957,0.0,-0.14400681328793757,-0.009916670152091056,65536
llama32_3b,20,128,identity,2.153904914855957,0.013325160969240721,-0.14400681328793757,0.0034084908171496658,65536
llama32_3b,20,128,hadamard,1.8827728033065796,0.009916670152091056,0.0,0.0,65536
