model,layer,b,k,dc_slots,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_hadamard,nmse_delta_vs_hadamard,absorbed_energy_fraction,sqrt_one_minus_absorbed_energy_fraction,orthogonality_max_abs_error
llama32_3b,14,64,2,2,1.4131405353546143,0.007804988195483914,0.012358554805172905,-0.00020470152109487195,0.037784769965367684,0.9809257005679035,1.1102230246251565e-15
llama32_3b,14,128,0,1,1.5830636024475098,0.009890252318593123,-9.504129928535269e-05,-2.6933900351269052e-05,0.0,1.0,1.2212453270876722e-15
llama32_3b,14,128,1,1,1.5715121030807495,0.00975029523043017,0.007202579098535535,-0.00016689098851422127,0.020526687797902603,0.9896834404000592,1.1102230246251565e-15
llama32_3b,15,32,0,4,1.24442720413208,0.006122142832842226,0.00154144454281191,-9.554651552077208e-06,0.0,1.0,9.992007221626409e-16
llama32_3b,15,32,1,4,1.2329154014587402,0.0060047611195596946,0.01077786900361239,-0.00012693636483460894,0.024347814709914182,0.9877510745577986,9.992007221626409e-16
llama32_3b,15,32,2,4,1.2226638793945312,0.005908638282253134,0.01900311502642531,-0.00022305920214116953,0.046088445906497716,0.976683958142808,9.992007221626409e-16
llama32_3b,15,32,3,4,1.2158339023590088,0.005836467998834355,0.024483105324009425,-0.0002952294855599483,0.06481282183234942,0.9670507629735114,1.1102230246251565e-15
llama32_3b,15,32,4,4,1.2076468467712402,0.005767055230212561,0.03105193929715638,-0.0003646422541817426,0.08245837008190976,0.9578839334272656,9.992007221626409e-16
llama32_3b,15,64,0,2,1.4085713624954224,0.008018171108511116,-0.00102432576727854,2.2148416123591794e-05,0.0,1.0,1.1102230246251565e-15
llama32_3b,15,64,1,2,1.3945528268814087,0.007848600056869477,0.008938176335846692,-0.0001474226355180474,0.024347814709914182,0.9877510745577986,1.1102230246251565e-15
llama32_3b,15,64,2,2,1.3829504251480103,0.007734326066342785,0.017183613295377393,-0.0002616966260447391,0.046088445906497716,0.976683958142808,8.881784197001252e-16
llama32_3b,15,128,0,1,1.5596656799316406,0.009932942967558816,-0.0006162733800338744,-1.2457141705113361e-06,0.0,1.0,1.1102230246251565e-15
llama32_3b,15,128,1,1,1.5427229404449463,0.009708895785213447,0.010253479711390106,-0.00022529289651588083,0.024347814709914182,0.9877510745577986,1.2212453270876722e-15
llama32_3b,16,32,0,4,1.3257523775100708,0.005944503346823909,0.01502367360039508,-0.00010831156648079959,0.0,1.0,1.2212453270876722e-15
llama32_3b,16,32,1,4,1.3016407489776611,0.005711027969033058,0.032937564382902365,-0.00034178694427165063,0.06880549236356791,0.9649842007185568,7.771561172376096e-16
llama32_3b,16,32,2,4,1.2891693115234375,0.005599489447255635,0.04220329971701857,-0.00045332546604907355,0.09376435497329179,0.9519640986017845,1.2212453270876722e-15
llama32_3b,16,32,3,4,1.2759406566619873,0.005489177083890554,0.05203161463440254,-0.0005636378294141551,0.11592364215214883,0.9402533476929775,1.2212453270876722e-15
llama32_3b,16,32,4,4,1.2682251930236816,0.005426530607006616,0.05776386837940502,-0.0006262843062980932,0.1338845454251668,0.9306532407802776,1.2212453270876722e-15
llama32_3b,16,64,0,2,1.5041334629058838,0.007783266339852398,0.010057915630441507,-0.0001185899544470714,0.0,1.0,1.1102230246251565e-15
llama32_3b,16,64,1,2,1.4732179641723633,0.0074757284394593605,0.03040488217984585,-0.0004261278548401085,0.06880549236356791,0.9649842007185568,9.992007221626409e-16
llama32_3b,16,64,2,2,1.458695411682129,0.007325448420845294,0.039962867715766674,-0.0005764078734541746,0.09376435497329179,0.9519640986017845,8.881784197001252e-16
llama32_3b,16,128,0,1,1.67397141456604,0.009695434838933793,0.0036197331725761396,-7.16354954837916e-05,0.0,1.0,1.4432899320127035e-15
llama32_3b,16,128,1,1,1.632004737854004,0.009252653709256717,0.02859911345132412,-0.0005144166251608677,0.06880549236356791,0.9649842007185568,8.881784197001252e-16
llama32_3b,17,32,0,4,1.4029529094696045,0.0059871829151914415,0.011816897288194454,-0.0001136031138785909,0.0,1.0,1.1102230246251565e-15
llama32_3b,17,32,1,4,1.383439540863037,0.005790241220548051,0.02556132235324306,-0.0003105448085219814,0.055003713684668096,0.9721091946460192,9.992007221626409e-16
llama32_3b,17,32,2,4,1.3682866096496582,0.005663340567927588,0.03623443224919552,-0.0004374454611424444,0.08141852200872052,0.95842656369243,8.881784197001252e-16
llama32_3b,17,32,3,4,1.3578133583068848,0.005577046823743728,0.043611365528656146,-0.0005237392053263042,0.10147266679256017,0.9479068167322354,9.992007221626409e-16
llama32_3b,17,32,4,4,1.3463640213012695,0.005491067962602164,0.05167581394302189,-0.0006097180664678681,0.12110609991528551,0.9374934133553763,1.3322676295501878e-15
llama32_3b,17,64,0,2,1.5919386148452759,0.007864500287188197,0.007904581009288699,-0.00010877862266419486,0.0,1.0,9.992007221626409e-16
llama32_3b,17,64,1,2,1.5647461414337158,0.007569055467389129,0.02485091804205014,-0.00040422344246326264,0.055003713684668096,0.9721091946460192,9.992007221626409e-16
llama32_3b,17,64,2,2,1.5494781732559204,0.007430780477616976,0.034365908849631616,-0.0005424984322354156,0.08141852200872052,0.95842656369243,1.1102230246251565e-15
llama32_3b,17,128,0,1,1.7663484811782837,0.009743373032796524,0.004398338899541104,-0.00011490072924757663,0.0,1.0,1.1102230246251565e-15
llama32_3b,17,128,1,1,1.7305762767791748,0.009347925445742119,0.024561328536342686,-0.0005103483163019819,0.055003713684668096,0.9721091946460192,1.1102230246251565e-15
llama32_3b,18,32,0,4,1.443774700164795,0.005877037174169888,0.022777249232282176,-0.0002525590667640737,0.0,1.0,1.3322676295501878e-15
llama32_3b,18,32,1,4,1.4163670539855957,0.005577855777297918,0.04132818753882564,-0.000551740463636043,0.08747762759415331,0.9552603689077898,8.881784197001252e-16
llama32_3b,18,32,2,4,1.4022181034088135,0.005477200318282629,0.05090494241722974,-0.0006523959226513321,0.10825538840633514,0.9443223028149155,1.3322676295501878e-15
llama32_3b,18,32,3,4,1.391290307044983,0.005401700796160106,0.05830145048824183,-0.000727895444773855,0.1281630399283229,0.9337221000231691,1.1102230246251565e-15
llama32_3b,18,32,4,4,1.3816492557525635,0.005330049313371127,0.06482702173089859,-0.0007995469275628346,0.14661432379406697,0.9237887616798188,8.881784197001252e-16
llama32_3b,18,64,0,2,1.6441152095794678,0.007760495545638761,0.01541797040365339,-0.0002609085076234179,0.0,1.0,1.1102230246251565e-15
llama32_3b,18,64,1,2,1.6028480529785156,0.007289334847609241,0.04013089840596067,-0.0007320692056529375,0.08747762759415331,0.9552603689077898,8.881784197001252e-16
llama32_3b,18,64,2,2,1.5880345106124878,0.007174168658300729,0.049002021015419256,-0.0008472353949614498,0.10825538840633514,0.9443223028149155,1.1102230246251565e-15
llama32_3b,18,128,0,1,1.8232777118682861,0.00958711531154133,0.010296826274397744,-0.0002858453966626557,0.0,1.0,1.1102230246251565e-15
llama32_3b,18,128,1,1,1.7799689769744873,0.00907792080889941,0.03380547341872803,-0.0007950398993045744,0.08747762759415331,0.9552603689077898,1.1102230246251565e-15
llama32_3b,19,32,0,4,1.4260785579681396,0.005945516363418054,0.012624945577150451,-0.00011586640672302598,0.0,1.0,1.1102230246251565e-15
llama32_3b,19,32,1,4,1.4011023044586182,0.005728381106086368,0.029917772490822916,-0.0003330016640547117,0.054078777544723844,0.9725848150445678,1.1102230246251565e-15
llama32_3b,19,32,2,4,1.376985788345337,0.005526112371564624,0.04661534239452284,-0.0005352703985764557,0.10208395127996368,0.9475843227491875,9.992007221626409e-16
llama32_3b,19,32,3,4,1.3633332252502441,0.005407887949381553,0.05606797749215382,-0.0006534948207595273,0.1306964643512645,0.932364486479797,1.3322676295501878e-15
llama32_3b,19,32,4,4,1.3502285480499268,0.005297570703475324,0.06514127243201528,-0.0007638120666657562,0.15338848952396922,0.9201149441651466,1.1102230246251565e-15
llama32_3b,19,64,0,2,1.620826244354248,0.007816961735135184,0.005271816275249416,-7.52884461083566e-05,0.0,1.0,8.881784197001252e-16
llama32_3b,19,64,1,2,1.5889372825622559,0.007515470075183349,0.02484260565178387,-0.00037678010606019205,0.054078777544723844,0.9725848150445678,9.992007221626409e-16
llama32_3b,19,64,2,2,1.5599730014801025,0.007247422756677274,0.042618469544722204,-0.0006448274245662673,0.10208395127996368,0.9475843227491875,8.881784197001252e-16
llama32_3b,19,128,0,1,1.7991291284561157,0.009714429745792418,0.0012209279316995087,-4.018762547629805e-05,0.0,1.0,1.1102230246251565e-15
llama32_3b,19,128,1,1,1.7646164894104004,0.00935012347038418,0.020380476324030793,-0.00040449390088453593,0.054078777544723844,0.9725848150445678,1.1102230246251565e-15
llama32_3b,20,32,0,4,1.48114013671875,0.005972095287078674,0.015392183985069424,-0.00013810029894511123,0.0,1.0,9.992007221626409e-16
llama32_3b,20,32,1,4,1.4633288383483887,0.005804444934345035,0.027232484004001287,-0.0003057506516787505,0.04252031778459194,0.9785089075810235,1.3322676295501878e-15
llama32_3b,20,32,2,4,1.446852445602417,0.005668999039222341,0.03818538756473703,-0.00044119654680144487,0.08085425031204929,0.9587208924853733,9.992007221626409e-16
llama32_3b,20,32,3,4,1.4318816661834717,0.005544740753395082,0.04813741442722157,-0.0005654548326287038,0.10695125829104175,0.9450125616672819,1.2212453270876722e-15
llama32_3b,20,32,4,4,1.4197986125946045,0.005462479495535145,0.0561697867260927,-0.0006477160904886405,0.12712011337797785,0.9342804111304176,1.4432899320127035e-15
llama32_3b,20,64,0,2,1.6841015815734863,0.007861195985396054,0.011041930550657256,-0.0001581193521783368,0.0,1.0,1.3322676295501878e-15
llama32_3b,20,64,1,2,1.660697340965271,0.00762751229563853,0.0247856458123002,-0.0003918030419358615,0.04252031778459194,0.9785089075810235,1.1102230246251565e-15
llama32_3b,20,64,2,2,1.6370820999145508,0.007409857701073872,0.03865326725190518,-0.0006094576365005188,0.08085425031204929,0.9587208924853733,8.881784197001252e-16
llama32_3b,20,128,0,1,1.866887092590332,0.009731672669419265,0.008437401840704633,-0.00018499748267179067,0.0,1.0,1.1102230246251565e-15
llama32_3b,20,128,1,1,1.84042227268219,0.009428734911676043,0.022493702134433018,-0.00048793524041501266,0.04252031778459194,0.9785089075810235,1.2212453270876722e-15
llama32_3b,21,32,0,4,1.6599586009979248,0.00596150422808399,0.014459439565603891,-0.00011991118213632284,0.0,1.0,1.1102230246251565e-15
llama32_3b,21,32,1,4,1.632054328918457,0.005771927906672807,0.031026594871272215,-0.0003094875035475064,0.045956640070578016,0.9767514320078686,1.2212453270876722e-15
