model,row,seed,chunk,source_row,old_nll,replay_nll,float32_bit_identical,per_token_mean_difference,source_sha256
llama32_3b,Q1_asym,1,58,Q1_pq,2.18369460105896,2.18369460105896,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,59,Q1_pq,2.3517985343933105,2.3517985343933105,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,60,Q1_pq,2.3641252517700195,2.3641252517700195,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,61,Q1_pq,2.470703601837158,2.470703601837158,True,-2.384185791015625e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,62,Q1_pq,1.5165691375732422,1.5165691375732422,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,63,Q1_pq,1.9048550128936768,1.9048550128936768,True,1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,2,0,Q1_pq,1.8456416130065918,1.8456416130065918,True,-2.384185791015625e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,2,1,Q1_pq,2.430349111557007,2.430349111557007,True,2.384185791015625e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,2,2,Q1_pq,2.503749132156372,2.503749132156372,True,-2.384185791015625e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,2,3,Q1_pq,2.0191309452056885,2.0191309452056885,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,2,4,Q1_pq,1.9279807806015015,1.9279807806015015,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,2,5,Q1_pq,1.5512573719024658,1.5512573719024658,True,1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,2,6,Q1_pq,1.666833758354187,1.666833758354187,True,1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,2,7,Q1_pq,1.917101263999939,1.917101263999939,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,2,8,Q1_pq,2.2566254138946533,2.2566254138946533,True,2.384185791015625e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,2,9,Q1_pq,1.9840892553329468,1.9840892553329468,True,-1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,2,10,Q1_pq,1.8955695629119873,1.8955695629119873,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,2,11,Q1_pq,2.2531018257141113,2.2531018257141113,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
