model,model_id,site,method,seed,sequence,nll,tokens_scored,reused_deterministic_run,weight_fold_max_relative_error
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,63,1.9547514915466309,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,0,1.872257113456726,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,1,2.4609272480010986,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,2,2.537996768951416,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,3,2.0521161556243896,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,4,1.9807990789413452,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,5,1.5872882604599,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,6,1.7027665376663208,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,7,1.948431134223938,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,8,2.293532133102417,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,9,2.0049855709075928,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,10,1.9288249015808105,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,11,2.2779884338378906,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,12,2.157172679901123,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,13,2.2935516834259033,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,14,2.230865716934204,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,15,2.4251084327697754,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,16,2.1732401847839355,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,17,2.181666851043701,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,18,1.9847967624664307,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,19,2.1433258056640625,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,20,2.268878936767578,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,21,2.1971678733825684,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,22,2.2442467212677,2047,False,0.0
