model,site,layer,n,b,method,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_hadamard,nmse_delta_vs_hadamard,evaluation_tokens
llama32_3b,down_input,7,8192,128,bf16,0.35194313526153564,0.0,-0.48742766909099566,-0.009899668036733858,8192
llama32_3b,down_input,7,8192,128,identity,0.35194313526153564,0.026585179365068396,-0.48742766909099566,0.01668551132833454,8192
llama32_3b,down_input,7,8192,128,hadamard_full,0.23661193251609802,0.009899668036733858,0.0,0.0,8192
llama32_3b,down_input,7,8192,128,nar_kmax,0.2004590630531311,0.007292897432176903,0.1527939401809638,-0.0026067706045569544,8192
llama32_3b,down_input,8,8192,128,bf16,0.3617779314517975,0.0,-0.49200505248088144,-0.009908934356904195,8192
llama32_3b,down_input,8,8192,128,identity,0.3617779314517975,0.026515647101995266,-0.49200505248088144,0.01660671274509107,8192
llama32_3b,down_input,8,8192,128,hadamard_full,0.242477685213089,0.009908934356904195,0.0,0.0,8192
llama32_3b,down_input,8,8192,128,nar_kmax,0.20567333698272705,0.0073013154104074615,0.1517844753343729,-0.0026076189464967333,8192
llama32_3b,down_input,9,8192,128,bf16,0.3658260703086853,0.0,-0.490088040218378,-0.00990669564352614,8192
llama32_3b,down_input,9,8192,128,identity,0.3658260703086853,0.026113401169487915,-0.490088040218378,0.016206705525961776,8192
llama32_3b,down_input,9,8192,128,hadamard_full,0.24550634622573853,0.00990669564352614,0.0,0.0,8192
llama32_3b,down_input,9,8192,128,nar_kmax,0.20759564638137817,0.007232870368153214,0.15441841087685027,-0.002673825275372926,8192
llama32_3b,down_input,10,8192,128,bf16,0.38029351830482483,0.0,-0.49051744609335457,-0.009894872066658717,8192
llama32_3b,down_input,10,8192,128,identity,0.38029351830482483,0.026390338217101884,-0.49051744609335457,0.016495466150443165,8192
llama32_3b,down_input,10,8192,128,hadamard_full,0.255141943693161,0.009894872066658717,0.0,0.0,8192
llama32_3b,down_input,10,8192,128,nar_kmax,0.21350935101509094,0.007076211292338599,0.16317423970140435,-0.002818660774320118,8192
llama32_3b,down_input,11,8192,128,bf16,0.3938877284526825,0.0,-0.5014005611787025,-0.009901670223662272,8192
llama32_3b,down_input,11,8192,128,identity,0.3938877284526825,0.02664345390500618,-0.5014005611787025,0.016741783681343908,8192
llama32_3b,down_input,11,8192,128,hadamard_full,0.26234686374664307,0.009901670223662272,0.0,0.0,8192
llama32_3b,down_input,11,8192,128,nar_kmax,0.22143521904945374,0.007211114604217955,0.15594485908053027,-0.002690555619444317,8192
llama32_3b,down_input,12,8192,128,bf16,0.435678094625473,0.0,-0.5188149426579459,-0.00984490626726051,8192
llama32_3b,down_input,12,8192,128,identity,0.435678094625473,0.02814119568167225,-0.5188149426579459,0.01829628941441174,8192
llama32_3b,down_input,12,8192,128,hadamard_full,0.28685396909713745,0.00984490626726051,0.0,0.0,8192
llama32_3b,down_input,12,8192,128,nar_kmax,0.236108660697937,0.006861036621802111,0.17690293273235672,-0.0029838696454583986,8192
llama32_3b,down_input,13,8192,128,bf16,0.4771876335144043,0.0,-0.528196954440685,-0.009611200664373156,8192
llama32_3b,down_input,13,8192,128,identity,0.4771876335144043,0.0282560802205575,-0.528196954440685,0.018644879556184345,8192
llama32_3b,down_input,13,8192,128,hadamard_full,0.312255322933197,0.009611200664373156,0.0,0.0,8192
llama32_3b,down_input,13,8192,128,nar_kmax,0.25542348623275757,0.006649610359657062,0.18200438079512862,-0.0029615903047160936,8192
llama32_3b,down_input,14,8192,128,bf16,0.5415780544281006,0.0,-0.5362451723783748,-0.009824681026805058,8192
llama32_3b,down_input,14,8192,128,identity,0.5415780544281006,0.030679969543864982,-0.5362451723783748,0.020855288517059922,8192
llama32_3b,down_input,14,8192,128,hadamard_full,0.35253360867500305,0.009824681026805058,0.0,0.0,8192
llama32_3b,down_input,14,8192,128,nar_kmax,0.2809615433216095,0.006477765078881213,0.20302196327435854,-0.003346915947923845,8192
llama32_3b,down_input,15,8192,128,bf16,0.5745894908905029,0.0,-0.5409374130826063,-0.00975152051289042,8192
llama32_3b,down_input,15,8192,128,identity,0.5745894908905029,0.032152472896372936,-0.5409374130826063,0.022400952383482515,8192
llama32_3b,down_input,15,8192,128,hadamard_full,0.3728830814361572,0.00975152051289042,0.0,0.0,8192
llama32_3b,down_input,15,8192,128,nar_kmax,0.28942036628723145,0.006139017612830144,0.22383079121602828,-0.0036125029000602764,8192
llama32_3b,down_input,16,8192,128,bf16,0.569711446762085,0.0,-0.5497149097953418,-0.009727820961716156,8192
llama32_3b,down_input,16,8192,128,identity,0.569711446762085,0.033270082438999024,-0.5497149097953418,0.023542261477282868,8192
llama32_3b,down_input,16,8192,128,hadamard_full,0.36762338876724243,0.009727820961716156,0.0,0.0,8192
