model,layer,b,k,nar_mean_group_range,dc_absorption_fraction_vs_k0,identity_residual_range_after_projection,projection_range_attribution_fraction
llama32_3b,23,64,0,8.388483047485352,0.0,12.32612419128418,0.0
llama32_3b,23,64,1,8.110459327697754,0.03314350380322243,11.143056869506836,0.09598048043470894
llama32_3b,23,64,2,7.742425441741943,0.07701721539952082,10.006056785583496,0.1882235948378004
llama32_3b,23,128,0,9.459657669067383,0.0,16.305389404296875,0.0
llama32_3b,23,128,1,9.092677116394043,0.03879427411769332,14.350349426269531,0.11990145893186348
llama32_3b,24,32,0,7.1306915283203125,0.0,8.907079696655273,0.0
llama32_3b,24,32,1,6.934985637664795,0.0274455696026466,8.262890815734863,0.07232324205680024
llama32_3b,24,32,2,6.659701824188232,0.06605105581436156,7.568516731262207,0.15028078910035064
llama32_3b,24,32,3,6.380053520202637,0.10526861316836324,7.022243976593018,0.21161096389089643
llama32_3b,24,32,4,6.154639720916748,0.1368803857980771,6.519667625427246,0.2680353328515217
llama32_3b,24,64,0,8.224791526794434,0.0,12.391677856445312,0.0
llama32_3b,24,64,1,7.969040393829346,0.031095150817125387,11.288500785827637,0.08902564151503323
llama32_3b,24,64,2,7.636490345001221,0.07152779251324076,10.008885383605957,0.19228973674456748
llama32_3b,24,128,0,9.424135208129883,0.0,16.09667205810547,0.0
llama32_3b,24,128,1,8.99822998046875,0.045193030262736335,14.549202919006348,0.09613596732996085
llama32_3b,25,32,0,6.984259605407715,0.0,9.515793800354004,0.0
llama32_3b,25,32,1,6.668316841125488,0.04523640043929653,8.250959396362305,0.13291948423101027
llama32_3b,25,32,2,6.442775249481201,0.07752924239918826,7.667179107666016,0.19426804862240885
llama32_3b,25,32,3,6.149957656860352,0.11945460158745916,7.025604724884033,0.261690104652891
llama32_3b,25,32,4,5.924215316772461,0.151776186528704,6.568411350250244,0.3097358467345217
llama32_3b,25,64,0,8.158042907714844,0.0,13.39013385772705,0.0
llama32_3b,25,64,1,7.640618324279785,0.06342508727745769,11.348641395568848,0.15246243867682607
llama32_3b,25,64,2,7.387781143188477,0.0944174691454431,10.283775329589844,0.23198860901189716
llama32_3b,25,128,0,9.26871109008789,0.0,18.06433868408203,0.0
llama32_3b,25,128,1,8.539491653442383,0.07867538750078712,14.986699104309082,0.17037100740836472
llama32_3b,26,32,0,6.966617584228516,0.0,8.302261352539062,0.0
