model,layer,b,position,method,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_hadamard,nmse_delta_vs_hadamard,sample_vectors
llama32_3b,7,32,0,nar,6.650503158569336,0.0038825439803291248,0.2070332670287436,-0.0021357056981960425,65536
llama32_3b,7,32,512,bf16,9.931741714477539,0.0,-0.19344991742606307,-0.005908287941682158,65536
llama32_3b,7,32,512,identity,9.931741714477539,0.00966802873841666,-0.19344991742606307,0.0037597407967345014,65536
llama32_3b,7,32,512,hadamard,8.32187557220459,0.005908287941682158,0.0,0.0,65536
llama32_3b,7,32,512,nar,6.518942356109619,0.003732984715197474,0.2166498646190821,-0.0021753032264846843,65536
llama32_3b,7,32,1024,bf16,9.93643569946289,0.0,-0.20096712641595427,-0.005836889801566852,65536
llama32_3b,7,32,1024,identity,9.93643569946289,0.009677286930778788,-0.20096712641595427,0.003840397129211936,65536
llama32_3b,7,32,1024,hadamard,8.27369499206543,0.005836889801566852,0.0,0.0,65536
llama32_3b,7,32,1024,nar,6.545381546020508,0.0037525893619832244,0.20889257432167788,-0.002084300439583627,65536
llama32_3b,7,32,2048,bf16,9.957337379455566,0.0,-0.20599141011833727,-0.005812507795332583,65536
llama32_3b,7,32,2048,identity,9.957337379455566,0.009673857152414455,-0.20599141011833727,0.003861349357081872,65536
llama32_3b,7,32,2048,hadamard,8.25655746459961,0.005812507795332583,0.0,0.0,65536
llama32_3b,7,32,2048,nar,6.69877815246582,0.0039137520445763595,0.18867177014304612,-0.001898755750756224,65536
llama32_3b,7,64,0,bf16,13.577966690063477,0.0,-0.46664896218644425,-0.007485063530924456,65536
llama32_3b,7,64,0,identity,13.577966690063477,0.01709352380628443,-0.46664896218644425,0.009608460275359975,65536
llama32_3b,7,64,0,hadamard,9.257816314697266,0.007485063530924456,0.0,0.0,65536
llama32_3b,7,64,0,nar,8.256040573120117,0.006101587822727223,0.10820864311023079,-0.001383475708197233,65536
llama32_3b,7,64,512,bf16,13.392473220825195,0.0,-0.45765722749811344,-0.0073850786458933984,65536
llama32_3b,7,64,512,identity,13.392473220825195,0.01675803485881559,-0.45765722749811344,0.009372956212922192,65536
llama32_3b,7,64,512,hadamard,9.18766975402832,0.0073850786458933984,0.0,0.0,65536
llama32_3b,7,64,512,nar,8.14179515838623,0.005982488392424154,0.11383458740270107,-0.0014025902534692443,65536
llama32_3b,7,64,1024,bf16,13.409309387207031,0.0,-0.4390321983746068,-0.007602801564722059,65536
llama32_3b,7,64,1024,identity,13.409309387207031,0.016813331695617207,-0.4390321983746068,0.009210530130895147,65536
llama32_3b,7,64,1024,hadamard,9.318283081054688,0.007602801564722059,0.0,0.0,65536
llama32_3b,7,64,1024,nar,8.124784469604492,0.0058938214301682435,0.12808138592362978,-0.0017089801345538157,65536
llama32_3b,7,64,2048,bf16,13.526639938354492,0.0,-0.4352970272532899,-0.007809567995415308,65536
llama32_3b,7,64,2048,identity,13.526639938354492,0.017044680296951602,-0.4352970272532899,0.009235112301536293,65536
llama32_3b,7,64,2048,hadamard,9.42427921295166,0.007809567995415308,0.0,0.0,65536
llama32_3b,7,64,2048,nar,8.298748970031738,0.006160923441961654,0.11942878786667534,-0.0016486445534536539,65536
llama32_3b,8,32,0,bf16,9.553396224975586,0.0,-0.173819994445792,-0.005952681004143008,65536
llama32_3b,8,32,0,identity,9.553396224975586,0.009397440227842254,-0.173819994445792,0.003444759223699246,65536
