model,row,seed,site,layer,group,group_class,observations,mean_range,scope
llama32_3b,Q1_asym,0,down,2,11,anchor,131072,0.08853196990747847,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,12,anchor,131072,0.09046337765285273,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,13,anchor,131072,0.09068681680805923,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,14,anchor,131072,0.08700626274683998,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,15,anchor,131072,0.08776985977210927,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,16,anchor,131072,0.08949976217893152,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,17,anchor,131072,0.08779639938791206,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,18,anchor,131072,0.0898450385985683,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,19,anchor,131072,0.09065878565492369,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,20,anchor,131072,0.0892900818461726,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,21,anchor,131072,0.08806220811209187,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,22,anchor,131072,0.08831356740836327,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,23,anchor,131072,0.09229599018301826,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,24,anchor,131072,0.0876447056751175,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,25,anchor,131072,0.08882650708380879,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,26,anchor,131072,0.08760831722149476,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,27,anchor,131072,0.08885735081103974,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,28,anchor,131072,0.08954163659720393,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,29,anchor,131072,0.0944910514849937,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,30,anchor,131072,0.09063824872167459,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,31,anchor,131072,0.09042256936528759,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,32,anchor,131072,0.09185701798632806,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,33,anchor,131072,0.08799586241447344,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,34,anchor,131072,0.08862557631800883,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,35,anchor,131072,0.09053377944549368,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,36,anchor,131072,0.08960851469207398,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,37,anchor,131072,0.09122659839562175,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,38,anchor,131072,0.08652218843114667,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,39,anchor,131072,0.08604234855823734,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,40,anchor,131072,0.09100126191572144,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,41,anchor,131072,0.09073260815974038,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,42,anchor,131072,0.08992654869699379,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,43,anchor,131072,0.0915812104375533,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,44,anchor,131072,0.08668446682113995,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,45,anchor,131072,0.09315021631795162,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,46,anchor,131072,0.09079215666029938,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,47,anchor,131072,0.09050064142374481,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,48,anchor,131072,0.08852768382324427,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,49,anchor,131072,0.09031658069889659,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,50,anchor,131072,0.09124901243396266,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,51,anchor,131072,0.09064317487718654,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,52,anchor,131072,0.09181038406160269,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,53,anchor,131072,0.09142122105511419,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,54,anchor,131072,0.08623951814097097,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,55,anchor,131072,0.0868574496597887,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,56,anchor,131072,0.08605014479994111,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,57,anchor,131072,0.09126210381589317,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,58,anchor,131072,0.08866584205264871,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,59,anchor,131072,0.08855869304717601,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,60,anchor,131072,0.08596438776878301,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,61,anchor,131072,0.08894689462870531,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,62,anchor,131072,0.08989517798829638,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,63,anchor,131072,0.09002335729427102,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,0,anchor,131072,0.12464406816590667,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,1,anchor,131072,0.12572858473458837,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,2,anchor,131072,0.13131793962025995,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,3,anchor,131072,0.13035878809586166,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,4,anchor,131072,0.1271881560811039,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,5,anchor,131072,0.12733797332202812,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,6,anchor,131072,0.12693439037647636,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,7,anchor,131072,0.12789269640074963,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,8,anchor,131072,0.1305931501692612,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,9,anchor,131072,0.12724094478656411,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,10,anchor,131072,0.12306903206479092,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,11,anchor,131072,0.12862848396062532,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,12,anchor,131072,0.12998141374072247,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,13,anchor,131072,0.12816604997757963,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,14,anchor,131072,0.1268433574194887,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,15,anchor,131072,0.12801611017084724,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,16,anchor,131072,0.12811051468227674,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,17,anchor,131072,0.12623584061623205,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,18,anchor,131072,0.12848218244690202,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,19,anchor,131072,0.12681283039290747,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,20,anchor,131072,0.12952303494094508,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,21,anchor,131072,0.1292759075115839,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,22,anchor,131072,0.12594318629402323,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,23,anchor,131072,0.12612607232404116,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,24,anchor,131072,0.1278038168879334,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,25,anchor,131072,0.1327961447735504,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,26,anchor,131072,0.12638331357621269,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,27,anchor,131072,0.1252811200697579,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,28,anchor,131072,0.12613783815035617,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,29,anchor,131072,0.12894504680880914,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,30,anchor,131072,0.12642048631343528,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,31,anchor,131072,0.12596010025134774,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,32,anchor,131072,0.12550808770635058,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,33,anchor,131072,0.12672183044250573,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,34,anchor,131072,0.12665630630408486,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,35,anchor,131072,0.12590899500770547,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,36,anchor,131072,0.1269774082563515,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,37,anchor,131072,0.12690021777387983,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,38,anchor,131072,0.1282144559311007,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,39,anchor,131072,0.12444909150465833,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,40,anchor,131072,0.12858614847476701,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,41,anchor,131072,0.12693323543285828,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,42,anchor,131072,0.12677278211634757,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,43,anchor,131072,0.12442758856644787,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,44,anchor,131072,0.12584604018366008,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,45,anchor,131072,0.12622853109994026,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,46,anchor,131072,0.1264930662770496,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,47,anchor,131072,0.12487372167302624,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,48,anchor,131072,0.12740259049692781,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,49,anchor,131072,0.12649263779360354,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,50,anchor,131072,0.12591824455819278,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,51,anchor,131072,0.12549564415854775,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,52,anchor,131072,0.12799676826068662,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,53,anchor,131072,0.1316443468213606,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,54,anchor,131072,0.12280833319917406,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,55,anchor,131072,0.1297716896045813,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,56,anchor,131072,0.12819535762434953,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,57,anchor,131072,0.12643820146595885,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,58,anchor,131072,0.12621634503315704,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,59,anchor,131072,0.1277140588852319,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,60,anchor,131072,0.12599610965793318,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,61,anchor,131072,0.12803959412858035,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,62,anchor,131072,0.1259062324037643,actual_quantized_forward
llama32_3b,Q1_asym,0,down,3,63,anchor,131072,0.12452798815601795,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,0,anchor,131072,0.15796014727399665,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,1,anchor,131072,0.1577483974039069,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,2,anchor,131072,0.15735521790065832,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,3,anchor,131072,0.15919901985506613,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,4,anchor,131072,0.15803532840618573,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,5,anchor,131072,0.16440889091549593,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,6,anchor,131072,0.16231889487039552,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,7,anchor,131072,0.15896489654861057,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,8,anchor,131072,0.1632849958802467,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,9,anchor,131072,0.16048699375235742,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,10,anchor,131072,0.15800402341926656,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,11,anchor,131072,0.16543960993712403,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,12,anchor,131072,0.15795544319882993,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,13,anchor,131072,0.15693959237208333,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,14,anchor,131072,0.16003406569797107,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,15,anchor,131072,0.15812530211954368,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,16,anchor,131072,0.1583805994076215,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,17,anchor,131072,0.1613931909558346,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,18,anchor,131072,0.16436834325728,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,19,anchor,131072,0.1610229700630441,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,20,anchor,131072,0.16465813395222995,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,21,anchor,131072,0.15872477170722732,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,22,anchor,131072,0.16012970496385037,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,23,anchor,131072,0.1608864009587876,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,24,anchor,131072,0.15926247617457534,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,25,anchor,131072,0.1590611436108702,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,26,anchor,131072,0.15779674988749548,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,27,anchor,131072,0.15972592332028057,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,28,anchor,131072,0.16227244116851125,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,29,anchor,131072,0.1631927193507181,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,30,anchor,131072,0.15923551557531823,actual_quantized_forward
llama32_3b,Q1_asym,0,down,4,31,anchor,131072,0.16020470070247939,actual_quantized_forward
