model,model_id,b,seed,method,sequence,nll,tokens_scored,reused_deterministic_run
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,6,1.6722567081451416,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,7,1.9326798915863037,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,8,2.2564938068389893,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,9,1.9721803665161133,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,10,1.899869680404663,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,11,2.2569754123687744,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,12,2.1278581619262695,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,13,2.278674364089966,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,14,2.1969797611236572,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,15,2.4053797721862793,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,16,2.1358251571655273,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,17,2.1476876735687256,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,18,1.9596010446548462,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,19,2.121079921722412,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,20,2.233226776123047,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,21,2.161224365234375,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,22,2.2182891368865967,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,23,2.2496111392974854,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,24,2.284464120864868,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,25,2.346184730529785,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,26,2.4254143238067627,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,27,2.2300302982330322,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,28,2.0013034343719482,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,29,1.815583348274231,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,30,1.6958980560302734,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,31,1.7087948322296143,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,32,2.011476993560791,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,33,1.979598045349121,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,34,2.1619491577148438,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,35,1.4800058603286743,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,36,1.4425681829452515,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,37,1.491039514541626,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,38,1.4719592332839966,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,39,1.669195532798767,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,40,2.275522232055664,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,41,2.691787004470825,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,42,2.6865739822387695,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,43,2.3110997676849365,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,44,2.3039162158966064,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,45,2.2793264389038086,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,46,2.3786725997924805,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,47,2.1607162952423096,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,48,2.0338406562805176,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,49,2.033604860305786,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,50,1.7640447616577148,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,51,1.847283124923706,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,52,1.6803971529006958,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,53,1.8971830606460571,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,54,1.6345393657684326,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,55,1.6037218570709229,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,56,1.8297405242919922,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,57,1.8104894161224365,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,58,2.1796579360961914,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,59,2.34928035736084,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,60,2.360945463180542,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,61,2.4668169021606445,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,62,1.5046695470809937,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,63,1.9035871028900146,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,0,1.824945330619812,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,1,2.434450149536133,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,2,2.516923189163208,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,3,2.015958547592163,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,4,1.933007836341858,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,5,1.5496859550476074,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,6,1.6726855039596558,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,7,1.9322701692581177,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,8,2.266355276107788,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,9,1.97658109664917,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,10,1.9082987308502197,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,11,2.259004592895508,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,12,2.119640588760376,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,13,2.2797350883483887,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,14,2.198885679244995,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,15,2.4000368118286133,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,16,2.1432154178619385,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,17,2.1448724269866943,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,18,1.95297110080719,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,19,2.1258442401885986,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,20,2.2289884090423584,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,21,2.1565639972686768,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,22,2.2105677127838135,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,23,2.255267858505249,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,24,2.284038543701172,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,25,2.34941029548645,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,26,2.4287562370300293,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar_rope,27,2.229172706604004,2047,False
