model,site,layer,n,b,k,dc_slots,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_k0,range_reduction_vs_hadamard,range_reduction_vs_identity,nmse_delta_vs_hadamard,absorbed_energy_fraction,sqrt_one_minus_absorbed_energy_fraction,normalized_range_vs_k0,evaluation_tokens,anchor_mapping_max_abs_error
llama32_3b,q_input,2,3072,128,14,24,1.6186317205429077,0.00603309514854928,0.16626998473774415,0.2298240186629203,0.5543346371721547,-0.003909059271836911,0.3349706901579316,0.8154932923341971,0.8337300152622559,8192,2.384185791015625e-07
llama32_3b,q_input,2,3072,128,15,24,1.6112775802612305,0.005981290899897149,0.17005797888827703,0.2333232594948197,0.5563594866517022,-0.003960863520489042,0.3428144742408027,0.8106698006952012,0.829942021111723,8192,2.384185791015625e-07
llama32_3b,q_input,2,3072,128,16,24,1.6013163328170776,0.005912098774130125,0.17518885015333482,0.23806301185990286,0.5591021630122812,-0.004030055646256066,0.35029320382376467,0.8060439170270037,0.8248111498466651,8192,2.384185791015625e-07
llama32_3b,q_input,2,3072,128,17,24,1.5947108268737793,0.005866416902717459,0.17859123532905216,0.24120603813174765,0.5609208875346785,-0.004075737517668732,0.3576395550363748,0.8014739203265601,0.8214087646709478,8192,2.384185791015625e-07
llama32_3b,q_input,2,3072,128,18,24,1.5865157842636108,0.005809205323576448,0.18281236414651963,0.24510539640100776,0.5631772665441208,-0.004132949096809743,0.36462727651820626,0.7971027057298161,0.8171876358534804,8192,2.384185791015625e-07
llama32_3b,q_input,2,3072,128,19,24,1.5775198936462402,0.005746708644766417,0.18744599632271491,0.24938581349422434,0.5656541467418011,-0.004195445775619774,0.37149895713878517,0.7927805767431584,0.812554003677285,8192,2.384185791015625e-07
llama32_3b,q_input,2,3072,128,20,24,1.5705718994140625,0.005697134753439335,0.1910247914641401,0.25269180225508775,0.5675671701498503,-0.004245019666946856,0.3781763175249857,0.788557976609846,0.8089752085358599,8192,2.384185791015625e-07
llama32_3b,q_input,2,3072,128,21,24,1.563373327255249,0.005649920679534872,0.19473265508726306,0.2561170207938548,0.5695491863381429,-0.004292233740851319,0.3844813555387015,0.7845499630114697,0.8052673449127369,8192,2.384185791015625e-07
llama32_3b,q_input,2,3072,128,22,24,1.5548746585845947,0.00559613885917647,0.1991101765892616,0.2601608501593663,0.5718891641160344,-0.004346015561209721,0.39053560114326474,0.780682008795345,0.8008898234107384,8192,2.384185791015625e-07
llama32_3b,q_input,2,3072,128,23,24,1.5486091375350952,0.005550716921768885,0.20233744125603403,0.26314210510553027,0.5736142790241335,-0.004391437498617306,0.39633520335345235,0.7769586840022754,0.797662558743966,8192,2.384185791015625e-07
llama32_3b,q_input,2,3072,128,24,24,1.5422385931015015,0.0055100901856075,0.20561880170414606,0.26617333218981654,0.5753683105066355,-0.004432064234778691,0.4020324986260042,0.773283584058265,0.794381198295854,8192,2.384185791015625e-07
llama32_3b,q_input,3,3072,128,0,24,1.7381237745285034,0.00948562213177212,0.0,0.02785893711110111,0.3170890189347059,-0.0004815397275063256,0.0,1.0,1.0,8192,2.384185791015625e-07
llama32_3b,q_input,3,3072,128,1,24,1.5949852466583252,0.008002701641976492,0.08235232149045718,0.10791701045620246,0.37332832359675855,-0.0019644602173019537,0.17165428227555843,0.9101349997250087,0.9176476785095429,8192,2.384185791015625e-07
llama32_3b,q_input,3,3072,128,2,24,1.5650568008422852,0.0077559243398224315,0.09957114459996712,0.1246561354555774,0.3850872469792637,-0.0022112375194560142,0.2006053769575927,0.8940887109467422,0.9004288554000329,8192,2.384185791015625e-07
llama32_3b,q_input,3,3072,128,3,24,1.5488742589950562,0.007592752283179056,0.10888149526910679,0.13370710965094318,0.39144538768878784,-0.0023744095760993896,0.219348803118662,0.8835446773544267,0.8911185047308933,8192,2.384185791015625e-07
llama32_3b,q_input,3,3072,128,4,24,1.5351359844207764,0.0074655484033462356,0.11678557826688209,0.14139099329756255,0.39684317276322006,-0.00250161345593221,0.23479756511879402,0.8747585008910779,0.8832144217331179,8192,2.384185791015625e-07
llama32_3b,q_input,3,3072,128,5,24,1.5205802917480469,0.0073310218241166335,0.1251599488876844,0.14953206285389486,0.40256212241967654,-0.002636140035161812,0.24825148408807055,0.8670343222225574,0.8748400511123157,8192,2.384185791015625e-07
llama32_3b,q_input,3,3072,128,6,24,1.511544942855835,0.007254061562238347,0.1303582834508618,0.15458557734139425,0.40611212217612164,-0.0027131002970400987,0.2585076627797589,0.8610994932179679,0.8696417165491382,8192,2.384185791015625e-07
llama32_3b,q_input,3,3072,128,7,24,1.5016506910324097,0.007171309616595433,0.13605077323117637,0.16011948040691346,0.40999958595670044,-0.0027958522426830123,0.26758699920788936,0.8558113114420203,0.8639492267688236,8192,2.384185791015625e-07
llama32_3b,q_input,3,3072,128,8,24,1.4922717809677124,0.007081024400214033,0.14144676988120866,0.16536515032562077,0.413684571322799,-0.0028861374590644128,0.2763549262152957,0.8506733061432598,0.8585532301187914,8192,2.384185791015625e-07
llama32_3b,q_input,3,3072,128,9,24,1.48496413230896,0.007015704522105217,0.14565110145174642,0.1694523536873407,0.41655575552035873,-0.002951457337173229,0.28452699997869285,0.8458563707990306,0.8543488985482536,8192,2.384185791015625e-07
