experiment,model,row,seed,eval_set,chunk,nll,tokens,token_sha256
29,llama32_3b,Q1_hadamard,2,wt2,13,2.27463436126709,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,14,2.211308717727661,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,15,2.4114255905151367,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,16,2.1357359886169434,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,17,2.157801866531372,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,18,1.9716377258300781,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,19,2.1096384525299072,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,20,2.2398014068603516,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,21,2.1622061729431152,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,22,2.210484504699707,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,23,2.274143934249878,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,24,2.296293020248413,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,25,2.3398375511169434,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,26,2.434252977371216,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,27,2.235455274581909,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,28,2.0071568489074707,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,29,1.817313313484192,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,30,1.7114689350128174,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,31,1.7224950790405273,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,32,2.0211262702941895,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,33,1.992479920387268,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,34,2.166109085083008,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,35,1.4849350452423096,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,36,1.4469536542892456,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,37,1.505922794342041,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,38,1.4796866178512573,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,39,1.6794120073318481,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,40,2.281777858734131,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,41,2.699751615524292,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,42,2.6903178691864014,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,43,2.3204054832458496,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,44,2.314450740814209,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,45,2.2875571250915527,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,46,2.3797249794006348,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,47,2.168975353240967,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,48,2.0455076694488525,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
29,llama32_3b,Q1_hadamard,2,wt2,49,2.042323350906372,2047,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08
