model,site,layer,method,nar_group_size,fp4_block_size,scale_rule,layer_global_nmse,transformed_pearson_kurtosis,blocks
llama32_3b,q_input,25,nar_b16,16,16,mse_optimal,0.006406824095557049,11.055312156677246,393216
llama32_3b,q_input,26,identity,,16,absmax,0.008360653559158989,15.081560134887695,393216
llama32_3b,q_input,26,identity,,16,mse_optimal,0.006897014174344529,15.081560134887695,393216
llama32_3b,q_input,26,hadamard_b16,,16,absmax,0.009356206727663807,3.722951650619507,393216
llama32_3b,q_input,26,hadamard_b16,,16,mse_optimal,0.006580630970851845,3.722951650619507,393216
llama32_3b,q_input,26,nar_b128,128,16,absmax,0.009415693097330032,3.6428699493408203,393216
llama32_3b,q_input,26,nar_b128,128,16,mse_optimal,0.006595120309507411,3.6428699493408203,393216
llama32_3b,q_input,26,nar_b16,16,16,absmax,0.010264600610618903,10.80894660949707,393216
llama32_3b,q_input,26,nar_b16,16,16,mse_optimal,0.0063682858739238105,10.80894660949707,393216
llama32_3b,q_input,27,identity,,16,absmax,0.008470966486937286,8.08437728881836,393216
llama32_3b,q_input,27,identity,,16,mse_optimal,0.0067312390568150015,8.08437728881836,393216
llama32_3b,q_input,27,hadamard_b16,,16,absmax,0.009222865752617637,3.399660110473633,393216
llama32_3b,q_input,27,hadamard_b16,,16,mse_optimal,0.006585140940311265,3.399660110473633,393216
llama32_3b,q_input,27,nar_b128,128,16,absmax,0.00940944121724292,3.748145341873169,393216
llama32_3b,q_input,27,nar_b128,128,16,mse_optimal,0.0066000539995641925,3.748145341873169,393216
llama32_3b,q_input,27,nar_b16,16,16,absmax,0.010286762000801159,11.601544380187988,393216
llama32_3b,q_input,27,nar_b16,16,16,mse_optimal,0.006363256539056875,11.601544380187988,393216
llama32_3b,down_input,0,identity,,16,absmax,0.0013503929176222555,100082.8203125,1048576
llama32_3b,down_input,0,identity,,16,mse_optimal,0.0011410134470415832,100082.8203125,1048576
llama32_3b,down_input,0,hadamard_b16,,16,absmax,0.0017645537828431133,6255.32861328125,1048576
llama32_3b,down_input,0,hadamard_b16,,16,mse_optimal,0.0011016008216356917,6255.32861328125,1048576
llama32_3b,down_input,0,nar_b128,128,16,absmax,0.002198586460019337,705.2413940429688,1048576
llama32_3b,down_input,0,nar_b128,128,16,mse_optimal,0.0016428007969646922,705.2413940429688,1048576
llama32_3b,down_input,0,nar_b16,16,16,absmax,0.0014788939457487246,5653.3173828125,1048576
llama32_3b,down_input,0,nar_b16,16,16,mse_optimal,0.0008466550133732771,5653.3173828125,1048576
llama32_3b,down_input,1,identity,,16,absmax,0.0013042102480775076,129564.5234375,1048576
