model,row,site,layer,group,m,slots,effective_bits,rows_used,mean_group_range,hadamard_reference_range,range_ratio_vs_hadamard,measured_range_reduction,absorbed_energy_fraction,sqrt_one_minus_f,predicted_range_reduction
llama32_3b,hadamard_g128_m1,down,8,128,1,0,4.25,4096,0.24637942016124725,0.24637942016124725,1.0,0.0,0.0015367353335022926,0.9992313369117772,0.0007686630882227652
llama32_3b,hadamard_g256_m1,down,8,256,1,0,4.125,4096,0.2681424021720886,0.2681424021720886,1.0,0.0,0.0009330391767434776,0.9995333715405686,0.0004666284594313508
llama32_3b,hadamard_g256_m2,down,8,256,2,0,4.1875,4096,0.26774927973747253,0.2681424021720886,0.9985339042559789,0.0014660957440210834,0.0015367355663329363,0.9992313367952724,0.000768663204727571
llama32_3b,hadamard_g256_m3,down,8,256,3,0,4.25,4096,0.2672918438911438,0.2681424021720886,0.9968279605386732,0.003172039461326793,0.0023411898873746395,0.9988287191068473,0.0011712808931526597
llama32_3b,nar_g64_m1,down,8,64,1,128,4.5,4096,0.18164169788360596,0.22272896766662598,0.8155279476510743,0.18447205234892575,0.26364970207214355,0.8581085583583562,0.1418914416416438
llama32_3b,nar_g128_m1,down,8,128,1,64,4.25,4096,0.20907938480377197,0.24637942016124725,0.8486073417452495,0.15139265825475046,0.21173252165317535,0.887844287218668,0.11215571278133196
llama32_3b,nar_g256_m1,down,8,256,1,32,4.125,4096,0.2357921153306961,0.2681424021720886,0.8793540798495916,0.12064592015040847,0.16510912775993347,0.9137236301202166,0.08627636987978338
llama32_3b,nar_g256_m2,down,8,256,2,64,4.1875,4096,0.23032784461975098,0.2681424021720886,0.8589758380397108,0.14102416196028927,0.21173253655433655,0.887844278826903,0.11215572117309702
llama32_3b,nar_g256_m3,down,8,256,3,96,4.25,4096,0.22616147994995117,0.2681424021720886,0.8434379572866103,0.15656204271338967,0.24190199375152588,0.8706882371138789,0.12931176288612112
llama32_3b,nar_g128_m2,down,8,128,2,128,4.375,4096,0.20306244492530823,0.24637942016124725,0.824185903158675,0.175814096841325,0.26364970207214355,0.8581085583583562,0.1418914416416438
llama32_3b,nar_g128_m2_c32,down,8,128,2,128,4.375,4096,0.20306244492530823,0.24637942016124725,0.824185903158675,0.175814096841325,0.26364970207214355,0.8581085583583562,0.1418914416416438
llama32_3b,nar_g256_m3_c32,down,8,256,3,96,4.25,4096,0.22616147994995117,0.2681424021720886,0.8434379572866103,0.15656204271338967,0.24190199375152588,0.8706882371138789,0.12931176288612112
llama32_3b,hadamard_g64_m1,down,12,64,1,0,4.5,4096,0.26239466667175293,0.26239466667175293,1.0,0.0,0.00401573209092021,0.9979901141339426,0.002009885866057437
llama32_3b,hadamard_g128_m1,down,12,128,1,0,4.25,4096,0.29017239809036255,0.29017239809036255,1.0,0.0,0.0022225077264010906,0.9988881280071352,0.001111871992864777
llama32_3b,hadamard_g256_m1,down,12,256,1,0,4.125,4096,0.3160417079925537,0.3160417079925537,1.0,0.0,0.0008229481754824519,0.9995884412219449,0.0004115587780550989
llama32_3b,hadamard_g256_m2,down,12,256,2,0,4.1875,4096,0.3153361976146698,0.3160417079925537,0.9977676668615506,0.002232333138449352,0.0022225077264010906,0.9988881280071352,0.001111871992864777
llama32_3b,hadamard_g256_m3,down,12,256,3,0,4.25,4096,0.3148440718650818,0.3160417079925537,0.9962105124191388,0.003789487580861136,0.0029622376896440983,0.9985177826710728,0.0014822173289271712
llama32_3b,nar_g64_m1,down,12,64,1,128,4.5,4096,0.20486406981945038,0.26239466667175293,0.780747842240744,0.21925215775925594,0.3100222647190094,0.8306489843977362,0.16935101560226384
llama32_3b,nar_g128_m1,down,12,128,1,64,4.25,4096,0.23611928522586823,0.29017239809036255,0.8137206942485906,0.18627930575140939,0.25433239340782166,0.8635204725958605,0.1364795274041395
llama32_3b,nar_g256_m1,down,12,256,1,32,4.125,4096,0.2674829959869385,0.3160417079925537,0.8463534692491937,0.15364653075080625,0.203355073928833,0.8925496770887137,0.10745032291128631
llama32_3b,nar_g256_m2,down,12,256,2,64,4.1875,4096,0.2601814866065979,0.3160417079925537,0.8232504762084378,0.17674952379156214,0.25433242321014404,0.8635204553395687,0.13647954466043133
llama32_3b,nar_g256_m3,down,12,256,3,96,4.25,4096,0.2554227113723755,0.3160417079925537,0.8081930482997944,0.19180695170020556,0.2869669795036316,0.8444128258715451,0.1555871741284549
llama32_3b,nar_g128_m2,down,12,128,2,128,4.375,4096,0.22883343696594238,0.29017239809036255,0.7886120060760617,0.2113879939239383,0.310022234916687,0.8306490023369154,0.1693509976630846
