model,layer,b,position,method,mean_group_range,valid,reduction_vs_hadamard,invalid_reason
llama32_3b,7,64,1024,bf16,13.409309387207031,True,nan,
llama32_3b,7,64,1024,hadamard,9.318283081054688,True,0.0,
llama32_3b,7,64,1024,nar_rope,8.39341926574707,True,0.09925259913899682,
llama32_3b,7,64,2048,bf16,13.526639938354492,True,nan,
llama32_3b,7,64,2048,hadamard,9.42427921295166,True,0.0,
llama32_3b,7,64,2048,nar_rope,8.456685066223145,True,0.10267036076337424,
llama32_3b,7,128,0,bf16,18.566884994506836,True,nan,
llama32_3b,7,128,0,hadamard,10.108551979064941,True,0.0,
llama32_3b,7,128,0,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,7,128,512,bf16,18.42327117919922,True,nan,
llama32_3b,7,128,512,hadamard,10.226062774658203,True,0.0,
llama32_3b,7,128,512,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,7,128,1024,bf16,18.487762451171875,True,nan,
llama32_3b,7,128,1024,hadamard,10.401689529418945,True,0.0,
llama32_3b,7,128,1024,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,7,128,2048,bf16,18.466602325439453,True,nan,
llama32_3b,7,128,2048,hadamard,10.367408752441406,True,0.0,
llama32_3b,7,128,2048,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,8,32,0,bf16,9.55339527130127,True,nan,
llama32_3b,8,32,0,hadamard,8.13872241973877,True,0.0,
llama32_3b,8,32,0,nar_rope,7.235136985778809,True,0.11102300672750595,
llama32_3b,8,32,512,bf16,9.417618751525879,True,nan,
llama32_3b,8,32,512,hadamard,8.172046661376953,True,0.0,
llama32_3b,8,32,512,nar_rope,7.351840019226074,True,0.10036734690066954,
llama32_3b,8,32,1024,bf16,9.466492652893066,True,nan,
llama32_3b,8,32,1024,hadamard,8.130023002624512,True,0.0,
llama32_3b,8,32,1024,nar_rope,7.278233528137207,True,0.10477085663992984,
llama32_3b,8,32,2048,bf16,9.438133239746094,True,nan,
llama32_3b,8,32,2048,hadamard,8.257509231567383,True,0.0,
llama32_3b,8,32,2048,nar_rope,7.336835861206055,True,0.11149528805147607,
llama32_3b,8,64,0,bf16,12.85243034362793,True,nan,
llama32_3b,8,64,0,hadamard,9.091219902038574,True,0.0,
llama32_3b,8,64,0,nar_rope,8.475801467895508,True,0.06769371336019138,
llama32_3b,8,64,512,bf16,12.911835670471191,True,nan,
llama32_3b,8,64,512,hadamard,9.049324035644531,True,0.0,
llama32_3b,8,64,512,nar_rope,8.515149116516113,True,0.05902926196745167,
llama32_3b,8,64,1024,bf16,12.958800315856934,True,nan,
llama32_3b,8,64,1024,hadamard,9.060436248779297,True,0.0,
llama32_3b,8,64,1024,nar_rope,8.362272262573242,True,0.07705633228202644,
llama32_3b,8,64,2048,bf16,12.75760269165039,True,nan,
llama32_3b,8,64,2048,hadamard,9.084024429321289,True,0.0,
llama32_3b,8,64,2048,nar_rope,8.52818489074707,True,0.06118868821841645,
llama32_3b,8,128,0,bf16,16.335311889648438,True,nan,
llama32_3b,8,128,0,hadamard,10.154003143310547,True,0.0,
llama32_3b,8,128,0,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
