model,row,site,layer,direction,captured_share,energy_fraction
llama32_3b,hadamard_g256_m2,qkv,4,25,0.004385789390653372,0.003861578879877925
llama32_3b,hadamard_g256_m2,qkv,4,26,0.0029281822498887777,0.003846048843115568
llama32_3b,hadamard_g256_m2,qkv,4,27,0.002824913477525115,0.0037765095476061106
llama32_3b,hadamard_g256_m2,qkv,4,28,0.00396709656342864,0.0035504610277712345
llama32_3b,hadamard_g256_m2,qkv,4,29,0.0024018697440624237,0.0034923432394862175
llama32_3b,hadamard_g256_m2,qkv,4,30,0.003208302427083254,0.0033602321054786444
llama32_3b,hadamard_g256_m2,qkv,4,31,0.0028388812206685543,0.0032172042410820723
llama32_3b,hadamard_g256_m2,qkv,4,32,0.005462125409394503,0.003160590073093772
llama32_3b,hadamard_g256_m2,qkv,4,33,0.0044134147465229034,0.0030715996399521828
llama32_3b,hadamard_g256_m2,qkv,4,34,0.0021788396406918764,0.0029771325644105673
llama32_3b,hadamard_g256_m2,qkv,4,35,0.004108581691980362,0.002834407379850745
llama32_3b,hadamard_g256_m2,qkv,4,36,0.005613934248685837,0.0027822526171803474
llama32_3b,hadamard_g256_m2,qkv,4,37,0.002931838156655431,0.0027634312864392996
llama32_3b,hadamard_g256_m2,qkv,4,38,0.004486802965402603,0.0026929748710244894
llama32_3b,hadamard_g256_m2,qkv,4,39,0.0038383854553103447,0.002587753115221858
llama32_3b,hadamard_g256_m2,qkv,4,40,0.0028024669736623764,0.0025433578994125128
llama32_3b,hadamard_g256_m2,qkv,4,41,0.006611823569983244,0.002484253142029047
llama32_3b,hadamard_g256_m2,qkv,4,42,0.002623491222038865,0.002445009769871831
llama32_3b,hadamard_g256_m2,qkv,4,43,0.0024824219290167093,0.002354403492063284
llama32_3b,hadamard_g256_m2,qkv,4,44,0.005060260649770498,0.0022992934100329876
llama32_3b,hadamard_g256_m2,qkv,4,45,0.003445904701948166,0.0022179142106324434
llama32_3b,hadamard_g256_m2,qkv,4,46,0.0027995039708912373,0.0021916504483669996
llama32_3b,hadamard_g256_m2,qkv,4,47,0.0033806366845965385,0.0021647128742188215
llama32_3b,hadamard_g256_m2,qkv,5,0,0.001358737237751484,0.15478618443012238
llama32_3b,hadamard_g256_m2,qkv,5,1,0.002747069112956524,0.025430703535676003
llama32_3b,hadamard_g256_m2,qkv,5,2,0.0007877895841374993,0.01977287419140339
llama32_3b,hadamard_g256_m2,qkv,5,3,0.0016406872309744358,0.015438285656273365
llama32_3b,hadamard_g256_m2,qkv,5,4,0.0023519345559179783,0.01355882827192545
llama32_3b,hadamard_g256_m2,qkv,5,5,0.0027484027668833733,0.012211470864713192
llama32_3b,hadamard_g256_m2,qkv,5,6,0.002393313217908144,0.010389827191829681
llama32_3b,hadamard_g256_m2,qkv,5,7,0.0018145269714295864,0.009580958634614944
llama32_3b,hadamard_g256_m2,qkv,5,8,0.0010717551922425628,0.008974030613899231
llama32_3b,hadamard_g256_m2,qkv,5,9,0.002379335230216384,0.007694677449762821
llama32_3b,hadamard_g256_m2,qkv,5,10,0.0030207810923457146,0.007633468136191368
llama32_3b,hadamard_g256_m2,qkv,5,11,0.003983376547694206,0.007333473302423954
llama32_3b,hadamard_g256_m2,qkv,5,12,0.002827860414981842,0.006678240839391947
llama32_3b,hadamard_g256_m2,qkv,5,13,0.0030413297936320305,0.006219405680894852
llama32_3b,hadamard_g256_m2,qkv,5,14,0.0032214794773608446,0.006020562723278999
llama32_3b,hadamard_g256_m2,qkv,5,15,0.004632514901459217,0.0057158078998327255
llama32_3b,hadamard_g256_m2,qkv,5,16,0.001612188876606524,0.005608627572655678
llama32_3b,hadamard_g256_m2,qkv,5,17,0.0038964052218943834,0.00547301908954978
llama32_3b,hadamard_g256_m2,qkv,5,18,0.004681956488639116,0.005345432087779045
llama32_3b,hadamard_g256_m2,qkv,5,19,0.00526135740801692,0.005131561774760485
llama32_3b,hadamard_g256_m2,qkv,5,20,0.0036577978171408176,0.004895748570561409
llama32_3b,hadamard_g256_m2,qkv,5,21,0.0015201367205008864,0.004782637115567923
llama32_3b,hadamard_g256_m2,qkv,5,22,0.002033946802839637,0.004646560177206993
llama32_3b,hadamard_g256_m2,qkv,5,23,0.0025130126159638166,0.004521006252616644
llama32_3b,hadamard_g256_m2,qkv,5,24,0.0011650663800537586,0.004362667910754681
llama32_3b,hadamard_g256_m2,qkv,5,25,0.003960844129323959,0.004218344576656818
llama32_3b,hadamard_g256_m2,qkv,5,26,0.007895386777818203,0.004178938455879688
llama32_3b,hadamard_g256_m2,qkv,5,27,0.002415867056697607,0.004042760469019413
llama32_3b,hadamard_g256_m2,qkv,5,28,0.0021067482884973288,0.003909881226718426
llama32_3b,hadamard_g256_m2,qkv,5,29,0.0022095085587352514,0.0038664790336042643
