model,layer,b,method,mean_group_range,relative_quantization_error_nmse,mse,sample_vectors,valid,invalid_reason
llama32_3b,13,64,identity,12.716320991516113,0.014919748947524847,0.06247542425990105,65536,True,
llama32_3b,13,64,hadamard,9.284481048583984,0.0076813302665321445,0.0321650430560112,65536,True,
llama32_3b,13,64,nar,8.13144302368164,0.005929647359616839,0.024829991161823273,65536,True,
llama32_3b,13,64,nar_rope,8.800862312316895,0.006921256275849268,0.028982285410165787,65536,True,
llama32_3b,13,128,bf16,15.71709156036377,0.0,0.0,65536,True,
llama32_3b,13,128,identity,15.71709156036377,0.023026480980860155,0.09642180800437927,65536,True,
llama32_3b,13,128,hadamard,10.363543510437012,0.00966417356217717,0.040468063205480576,65536,True,
llama32_3b,13,128,nar,9.667593955993652,0.00838971099325972,0.035131342709064484,65536,True,
llama32_3b,13,128,nar_rope,nan,nan,nan,65536,False,"requires an even number of >=2 groups, got 1"
llama32_3b,14,32,bf16,9.025300979614258,0.0,0.0,65536,True,
llama32_3b,14,32,identity,9.025300979614258,0.008882925468420788,0.035118699073791504,65536,True,
llama32_3b,14,32,hadamard,8.090779304504395,0.00605209336919266,0.023926984518766403,65536,True,
llama32_3b,14,32,nar,6.377938270568848,0.0038008393323089823,0.015026641078293324,65536,True,
llama32_3b,14,32,nar_rope,7.2684807777404785,0.004902826070005402,0.019383352249860764,65536,True,
llama32_3b,14,64,bf16,11.906789779663086,0.0,0.0,65536,True,
llama32_3b,14,64,identity,11.906789779663086,0.014785371628177819,0.05845405533909798,65536,True,
llama32_3b,14,64,hadamard,9.060842514038086,0.007783357786503195,0.03077155165374279,65536,True,
llama32_3b,14,64,nar,7.739764213562012,0.005724057462559566,0.02263009548187256,65536,True,
llama32_3b,14,64,nar_rope,8.364840507507324,0.006694368152411799,0.02646622620522976,65536,True,
llama32_3b,14,128,bf16,15.537017822265625,0.0,0.0,65536,True,
llama32_3b,14,128,identity,15.537017822265625,0.023801548931426855,0.09409956634044647,65536,True,
llama32_3b,14,128,hadamard,9.977372169494629,0.009531480235500633,0.03768276423215866,65536,True,
llama32_3b,14,128,nar,8.968679428100586,0.00772313180164328,0.030533447861671448,65536,True,
llama32_3b,14,128,nar_rope,nan,nan,nan,65536,False,"requires an even number of >=2 groups, got 1"
llama32_3b,15,32,bf16,8.603561401367188,0.0,0.0,65536,True,
llama32_3b,15,32,identity,8.603561401367188,0.008475187560903425,0.030805595219135284,65536,True,
llama32_3b,15,32,hadamard,7.7535505294799805,0.006011603840700516,0.021850965917110443,65536,True,
llama32_3b,15,32,nar,6.396636009216309,0.004155303080057076,0.015103687532246113,65536,True,
