model,row,quantizer,seed,site,layer,group,group_class,observations,mean_range,scope
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,60,anchor,131072,0.0858295506278921,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,61,anchor,131072,0.08876545815313364,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,62,anchor,131072,0.08966187590270636,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,63,anchor,131072,0.08981119048590358,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,3,0,anchor,131072,0.1248116647778943,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,3,1,anchor,131072,0.1257407441670182,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,3,2,anchor,131072,0.13127713084250558,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,3,3,anchor,131072,0.13054805474135378,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,3,4,anchor,131072,0.12714763624776992,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,3,5,anchor,131072,0.12723304294266313,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,3,6,anchor,131072,0.1269467927341168,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,3,7,anchor,131072,0.12785285738584662,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,3,8,anchor,131072,0.13084039168941786,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,3,9,anchor,131072,0.1274120141908952,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,3,10,anchor,131072,0.12320077350386782,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,3,11,anchor,131072,0.12870737484919914,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,3,12,anchor,131072,0.12995899981717685,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,3,13,anchor,131072,0.12838804258984737,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,3,14,anchor,131072,0.12709580790351538,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,3,15,anchor,131072,0.12816713778400413,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,3,16,anchor,131072,0.12827193700996986,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,3,17,anchor,131072,0.12633493838532672,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,3,18,anchor,131072,0.12859391284507637,common_unquantized_bf16_forward
