model,site,layer,method,fp4_nmse,transformed_pearson_kurtosis,mean_relative_e4m3_scale_rounding_error,squared_error,signal_energy,sample_vectors
llama32_3b,down_input,4,hadamard,0.01037523787372259,21.540496826171875,0.05977984517812729,228.357553348213,22009.861954738903,2048
llama32_3b,down_input,4,nar,0.009895131106918453,5.080859184265137,0.052789874374866486,217.7904696873179,22009.861954738903,2048
llama32_3b,down_input,4,logdiag,0.03189924924764851,652.0608520507812,0.0344277024269104,702.0980724005525,22009.861954738903,2048
llama32_3b,down_input,5,bf16,0.0,228.71592712402344,0.0,0.0,28412.817326150944,2048
llama32_3b,down_input,5,identity,0.008276475182923366,228.71592712402344,0.044869475066661835,235.1579774768233,28412.817326150944,2048
llama32_3b,down_input,5,hadamard,0.010268075558602697,17.475772857666016,0.05250640958547592,291.7449551376937,28412.817326150944,2048
llama32_3b,down_input,5,nar,0.009722886738470729,4.8089070320129395,0.04711923003196716,276.2546047830244,28412.817326150944,2048
llama32_3b,down_input,5,logdiag,0.0312852122514526,590.435302734375,0.031600456684827805,888.9010207103822,28412.817326150944,2048
llama32_3b,down_input,6,bf16,0.0,137.94932556152344,0.0,0.0,33369.87674233677,2048
llama32_3b,down_input,6,identity,0.008308870082594703,137.94932556152344,0.040465347468853,277.26597052427473,33369.87674233677,2048
llama32_3b,down_input,6,hadamard,0.01003092354305155,11.639023780822754,0.048428039997816086,334.7306822434343,33369.87674233677,2048
llama32_3b,down_input,6,nar,0.0096093658624908,4.113926410675049,0.04157346859574318,320.6633544033366,33369.87674233677,2048
llama32_3b,down_input,6,logdiag,0.03320898285785544,393.17840576171875,0.030274279415607452,1108.1796647050105,33369.87674233677,2048
llama32_3b,down_input,7,bf16,0.0,72.29036712646484,0.0,0.0,34095.378350573956,2048
llama32_3b,down_input,7,identity,0.008430426371875936,72.29036712646484,0.04076521471142769,287.4385768057665,34095.378350573956,2048
llama32_3b,down_input,7,hadamard,0.009922109784973213,7.540401458740234,0.047918543219566345,338.2980871545937,34095.378350573956,2048
llama32_3b,down_input,7,nar,0.009492778368682368,3.8014376163482666,0.04248674958944321,323.6598700783696,34095.378350573956,2048
llama32_3b,down_input,7,logdiag,0.03460968451282756,184.0924530029297,0.030514905229210854,1180.0302880588554,34095.378350573956,2048
llama32_3b,down_input,8,bf16,0.0,65.0563735961914,0.0,0.0,35811.515421910604,2048
llama32_3b,down_input,8,identity,0.008417010562274079,65.0563735961914,0.04007060080766678,301.4259035572626,35811.515421910604,2048
llama32_3b,down_input,8,hadamard,0.009880960018187992,7.097949981689453,0.048134807497262955,353.85215207462136,35811.515421910604,2048
llama32_3b,down_input,8,nar,0.009472495184742448,3.791083812713623,0.04153803735971451,339.2244073923781,35811.515421910604,2048
llama32_3b,down_input,8,logdiag,0.0342623384417993,165.32785034179688,0.030824560672044754,1226.9862614992162,35811.515421910604,2048
llama32_3b,down_input,9,bf16,0.0,53.936302185058594,0.0,0.0,36762.59012548326,2048
llama32_3b,down_input,9,identity,0.008424656792479434,53.936302185058594,0.039959780871868134,309.71220460978986,36762.59012548326,2048
llama32_3b,down_input,9,hadamard,0.009814162954719992,6.45141077041626,0.046957679092884064,360.79405012907273,36762.59012548326,2048
llama32_3b,down_input,9,nar,0.009463026856392564,3.7380385398864746,0.04237239435315132,347.88537766800016,36762.59012548326,2048
llama32_3b,down_input,9,logdiag,0.03480898713793473,116.38471221923828,0.030419718474149704,1279.668526835113,36762.59012548326,2048
llama32_3b,down_input,10,bf16,0.0,57.75501251220703,0.0,0.0,39781.65383714386,2048
