panel,model,layer,method,metric,x,y,source_commit,source_file,source_csv_line,source_field,formula,x_unit,y_unit,round_for_display_only
b,llama32_3b,21,duquant_style,mean_group_range,21,0.4078128933906555,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,254,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,22,duquant_style,mean_group_range,22,0.4262249171733856,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,255,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,23,duquant_style,mean_group_range,23,0.4777608513832092,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,256,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,24,duquant_style,mean_group_range,24,0.5601572394371033,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,257,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,25,duquant_style,mean_group_range,25,0.6956270337104797,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,258,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,26,duquant_style,mean_group_range,26,0.8797279596328735,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,259,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,27,duquant_style,mean_group_range,27,1.5854662656784058,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,260,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,0,hadamard,mean_group_range,0,0.0744665786623954,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,116,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,1,hadamard,mean_group_range,1,0.2666968405246734,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,120,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,2,hadamard,mean_group_range,2,0.1158598884940147,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,124,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,3,hadamard,mean_group_range,3,0.1529928147792816,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,128,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,4,hadamard,mean_group_range,4,0.1879771202802658,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,132,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,5,hadamard,mean_group_range,5,0.2139695733785629,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,136,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,6,hadamard,mean_group_range,6,0.2327222675085067,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,140,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,7,hadamard,mean_group_range,7,0.236611932516098,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,144,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,8,hadamard,mean_group_range,8,0.242477685213089,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,148,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,9,hadamard,mean_group_range,9,0.2455063462257385,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,152,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,10,hadamard,mean_group_range,10,0.255141943693161,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,156,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,11,hadamard,mean_group_range,11,0.262346863746643,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,160,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,12,hadamard,mean_group_range,12,0.2868539690971374,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,164,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,13,hadamard,mean_group_range,13,0.312255322933197,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,168,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,14,hadamard,mean_group_range,14,0.352533608675003,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,172,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,15,hadamard,mean_group_range,15,0.3728830814361572,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,176,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,16,hadamard,mean_group_range,16,0.3676233887672424,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,180,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,17,hadamard,mean_group_range,17,0.3734050095081329,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,184,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,18,hadamard,mean_group_range,18,0.3817839026451111,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,188,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,19,hadamard,mean_group_range,19,0.4387293457984924,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,192,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,20,hadamard,mean_group_range,20,0.4259110689163208,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,196,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,21,hadamard,mean_group_range,21,0.4386221766471863,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,200,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,22,hadamard,mean_group_range,22,0.4582124948501587,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,204,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,23,hadamard,mean_group_range,23,0.5132821798324585,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,208,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,24,hadamard,mean_group_range,24,0.5950758457183838,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,212,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,25,hadamard,mean_group_range,25,0.7418925762176514,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,216,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,26,hadamard,mean_group_range,26,0.9444494843482972,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,220,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,27,hadamard,mean_group_range,27,1.91482412815094,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,224,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,0,nar,mean_group_range,0,0.0475555919110775,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,117,mean_group_range,identity,layer index,activation amplitude,True
