model,site,layer,rank,eigenvalue,fraction_total_energy,cumulative_fraction_total_energy,relative_ritz_residual,source_commit,source_file
llama32_3b,down_input,5,24,0.0331783090432086,0.0022647353859772,0.1454623782558619,0.1589446055743736,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,25,0.0322734648048658,0.0022029711543311,0.147665349410193,0.1619320394279903,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,26,0.0311916147423839,0.0021291245904319,0.149794474000625,0.1668022593784806,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,27,0.0304169155798024,0.0020762439989377,0.1518707179995627,0.1769443608027513,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,28,0.0303015357318294,0.0020683682261189,0.1539390862256817,0.1701524816831701,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,29,0.0288738030576781,0.0019709118818352,0.155909998107517,0.1887938374123595,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,30,0.0286820026286263,0.0019578196769807,0.1578678177844978,0.1921557563435143,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,31,0.0272944370420375,0.0018631051187367,0.1597309229032346,0.1921470561959375,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,32,0.0267578617625941,0.0018264787487486,0.1615574016519832,0.1863784548794737,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,33,0.0262718067959547,0.0017933008709657,0.163350702522949,0.2041174280914116,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,34,0.0252921024928281,0.001726426727374,0.1650771292503231,0.2310518670172657,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,35,0.0250913835617731,0.0017127257498708,0.1667898550001939,0.1935735972134105,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,36,0.024405279044653,0.0016658925861801,0.1684557475863741,0.222605945686505,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,37,0.0241569127199648,0.0016489392205498,0.1701046868069239,0.1994369469811591,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,38,0.0236404645033071,0.0016136867141678,0.1717183735210917,0.2091276633228028,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,39,0.0230055682568087,0.0015703490023514,0.1732887225234432,0.2154633376046952,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,40,0.022355517581396,0.0015259768565206,0.1748146993799638,0.227719621456801,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,41,0.0220853229664546,0.001507533502317,0.1763222328822808,0.2334100040333578,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,42,0.0214159133501054,0.0014618399245073,0.1777840728067882,0.2475511051837371,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,43,0.0212675136222267,0.0014517102305992,0.1792357830373875,0.2424432826922647,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,44,0.0209619946156533,0.0014308556504465,0.180666638687834,0.2223311660658363,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,45,0.0204873063967432,0.0013984536613857,0.1820650923492198,0.2369067743430467,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,46,0.0204342736129398,0.0013948336691209,0.1834599260183408,0.241829988409343,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,47,0.0198517016060358,0.0013550675846831,0.1848149936030239,0.2190374414963438,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,48,0.0193583990557362,0.0013213949903323,0.1861363885933562,0.2823864940326926,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,49,0.0192303765710074,0.0013126562372214,0.1874490448305777,0.2545245451546152,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,50,0.0185548016537746,0.0012665418189446,0.1887155866495224,0.2797427932307328,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,51,0.0182904676688616,0.0012484985085225,0.1899640851580449,0.2189331346027517,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,52,0.0180884246911943,0.0012347071522356,0.1911987923102805,0.2460461661409083,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,53,0.0178377788280189,0.0012175981864066,0.1924163904966871,0.2811865955175428,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,54,0.0173404752490417,0.0011836524837665,0.1936000429804537,0.2605112053075486,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
