model,source_family,source_artifact,site,layer,expert,routed_rows,group_size,configuration,method,absorbed_energy_fraction,sqrt_one_minus_f,range_ratio_vs_hadamard,range
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,78,256,128,nar_k6_per_expert,nar,0.3830568722890909,0.7854572730014721,0.6001873595818432,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,79,256,128,nar_k6_per_expert,nar,0.1142289800054572,0.941154089400106,0.8799004980295312,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,80,256,128,nar_k6_per_expert,nar,0.1761625484856021,0.9076549187408164,0.7599475112625313,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,81,256,128,nar_k6_per_expert,nar,0.2265730606032217,0.8794469508712724,0.8088040829580044,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,82,256,128,nar_k6_per_expert,nar,0.2833357516788806,0.8465602449448707,0.7634384494674101,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,83,256,128,nar_k6_per_expert,nar,0.2677148809030142,0.8557365944594083,0.7504817899615168,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,84,256,128,nar_k6_per_expert,nar,0.609808878853516,0.6246528004791814,0.6880603608403955,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,85,256,128,nar_k6_per_expert,nar,0.7755860618397329,0.4737234828043329,0.4906814121797122,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,86,256,128,nar_k6_per_expert,nar,0.133153688708305,0.9310458158929102,0.837156238751694,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,87,256,128,nar_k6_per_expert,nar,0.1178099839083073,0.9392497091251574,0.8695856100722962,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,88,256,128,nar_k6_per_expert,nar,0.6745241552023639,0.5705049033949104,0.5374526201002893,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,89,256,128,nar_k6_per_expert,nar,0.1389090148546559,0.9279498828844929,0.8743969256412036,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,90,132,128,nar_k6_per_expert,nar,0.0506241574407275,0.974359195861194,0.8022695014607067,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,91,256,128,nar_k6_per_expert,nar,0.1454260704988836,0.9244316791959892,0.8754447955096254,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,92,256,128,nar_k6_per_expert,nar,0.1038743785570227,0.9466391189059205,0.7251757306627282,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,93,256,128,nar_k6_per_expert,nar,0.1733129311842353,0.9092233327493112,0.8225626034110997,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,94,256,128,nar_k6_per_expert,nar,0.8690007211305949,0.3619382252117136,0.3357580146632229,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,95,256,128,nar_k6_per_expert,nar,0.5716463160219996,0.6544873443986525,0.570071297835014,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,96,256,128,nar_k6_per_expert,nar,0.6066011935560358,0.6272151197507632,0.1866503928087114,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,97,256,128,nar_k6_per_expert,nar,0.2681256140000571,0.8554965727575669,0.7929926196819919,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
