model,source_family,source_artifact,site,layer,group_size,configuration,method,absorbed_energy_fraction,sqrt_one_minus_f,range_ratio_vs_hadamard,range_ratio_definition
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,3,128,nar_k11,nar,0.2988879812851521,0.8373243211055367,0.8220397345694754,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,3,128,nar_k12,nar,0.3056898161842054,0.833252773062169,0.8175101470002384,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,3,128,nar_k13,nar,0.3119001657888634,0.829517832364764,0.8134887512063889,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,3,128,nar_k14,nar,0.3177403746183036,0.8259900879439755,0.8094700223859077,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,3,128,nar_k15,nar,0.3234364959974889,0.8225348041283792,0.8065707556368983,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,3,128,nar_k16,nar,0.3287906983599221,0.819273642710467,0.8026245018177092,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,3,128,nar_k17,nar,0.3338955015383205,0.8161522520104196,0.7991907736056314,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,3,128,nar_k18,nar,0.3385579313469167,0.8132908880917598,0.7964187214863043,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,3,128,nar_k19,nar,0.3431548882538447,0.810459815010069,0.7938690282715846,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,3,128,nar_k20,nar,0.3475301086306454,0.80775608408068,0.7912028549949911,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,3,128,nar_k21,nar,0.351665963883796,0.8051919250192491,0.7882894532871281,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,3,128,nar_k22,nar,0.3556872394160555,0.802690949608842,0.7857866321293616,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,3,128,nar_k23,nar,0.3596772722404642,0.8002016794280901,0.7834975688870887,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,3,128,nar_k24,nar,0.3632329162769562,0.7979768691654188,0.7806560421115095,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,4,128,nar_k0,nar,0.0,1.0,0.9550086051466973,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,4,128,nar_k1,nar,0.2011924078712439,0.8937603661657615,0.8660795361416163,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
