record_type,model,site,layer,method,token,group,relative_channel,signed_value,group_mean,group_range,ecdf_probability,source
activation,llama32_3b,down_input,1,identity,0,11,116.0,0.001953125,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,117.0,-0.006317138671875,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,118.0,-0.00023174285888671875,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,119.0,0.00012969970703125,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,120.0,-0.0037994384765625,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,121.0,-0.0002040863037109375,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,122.0,-0.0001277923583984375,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,123.0,0.000576019287109375,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,124.0,0.0014801025390625,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,125.0,0.000514984130859375,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,126.0,0.000286102294921875,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,127.0,-0.000553131103515625,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,0.0,0.00023746490478515625,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,1.0,-0.00083160400390625,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,2.0,-0.0032958984375,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,3.0,0.00057220458984375,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,4.0,-0.01953125,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,5.0,-0.0191650390625,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,6.0,-0.005096435546875,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,7.0,0.022216796875,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,8.0,0.00107574462890625,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,1,11,9.0,0.048828125,0.0009263558313250542,0.25927734375,,frozen E1c wide_cal_a
