layer,expert,routed_tokens,share_of_tokens
2,48,9782,0.03731536865234375
2,49,38657,0.14746475219726562
2,50,30492,0.1163177490234375
2,51,42923,0.16373825073242188
2,52,45377,0.17309951782226562
2,53,25826,0.09851837158203125
2,54,22454,0.08565521240234375
2,55,31465,0.12002944946289062
2,56,3248,0.01239013671875
2,57,13091,0.049938201904296875
2,58,28420,0.1084136962890625
2,59,12734,0.04857635498046875
2,60,43724,0.1667938232421875
2,61,1561,0.005954742431640625
2,62,27861,0.10628128051757812
2,63,15030,0.05733489990234375
2,64,70147,0.2675895690917969
2,65,42419,0.16181564331054688
2,66,56,0.000213623046875
2,67,17727,0.06762313842773438
2,68,38502,0.14687347412109375
2,69,19584,0.07470703125
2,70,15987,0.060985565185546875
2,71,829,0.003162384033203125
2,72,12211,0.046581268310546875
2,73,27276,0.1040496826171875
2,74,19454,0.07421112060546875
2,75,5700,0.0217437744140625
2,76,38237,0.14586257934570312
2,77,14850,0.05664825439453125
2,78,1192,0.004547119140625
2,79,0,0.0
2,80,2411,0.009197235107421875
2,81,9169,0.034976959228515625
2,82,12545,0.047855377197265625
2,83,269,0.001026153564453125
2,84,32951,0.12569808959960938
2,85,24743,0.09438705444335938
2,86,1857,0.007083892822265625
2,87,15925,0.060749053955078125
2,88,34295,0.13082504272460938
2,89,2886,0.01100921630859375
2,90,29795,0.11365890502929688
2,91,100,0.0003814697265625
2,92,2963,0.011302947998046875
2,93,29358,0.11199188232421875
2,94,87499,0.3337821960449219
2,95,7334,0.02797698974609375
2,96,4,1.52587890625e-05
2,97,24172,0.0922088623046875
2,98,2513,0.009586334228515625
2,99,35782,0.13649749755859375
2,100,27742,0.10582733154296875
2,101,8564,0.0326690673828125
2,102,40,0.000152587890625
2,103,1411,0.005382537841796875
2,104,47926,0.18282318115234375
2,105,0,0.0
2,106,103,0.000392913818359375
2,107,14468,0.0551910400390625
2,108,3013,0.011493682861328125
2,109,226,0.00086212158203125
2,110,1013,0.003864288330078125
2,111,4857,0.018527984619140625
2,112,15572,0.0594024658203125
2,113,303,0.001155853271484375
2,114,23,8.7738037109375e-05
2,115,19057,0.07269668579101562
2,116,41652,0.1588897705078125
2,117,31513,0.12021255493164062
2,118,29473,0.11243057250976562
2,119,28103,0.10720443725585938
2,120,24942,0.09514617919921875
2,121,19934,0.07604217529296875
2,122,32241,0.12298965454101562
2,123,32058,0.12229156494140625
2,124,683,0.002605438232421875
2,125,86897,0.3314857482910156
2,126,15871,0.060543060302734375
2,127,14738,0.05622100830078125
3,0,9680,0.03692626953125
3,1,31453,0.11998367309570312
3,2,33363,0.12726974487304688
3,3,6751,0.025753021240234375
3,4,14910,0.05687713623046875
3,5,5716,0.0218048095703125
3,6,32424,0.123687744140625
3,7,26698,0.10184478759765625
3,8,34,0.00012969970703125
3,9,28891,0.11021041870117188
3,10,32985,0.12582778930664062
3,11,29561,0.11276626586914062
3,12,11979,0.045696258544921875
3,13,26423,0.10079574584960938
3,14,77,0.000293731689453125
3,15,165,0.000629425048828125
3,16,23,8.7738037109375e-05
3,17,8948,0.0341339111328125
3,18,2217,0.008457183837890625
3,19,26650,0.10166168212890625
3,20,16268,0.0620574951171875
3,21,19389,0.07396316528320312
3,22,9101,0.034717559814453125
3,23,5567,0.021236419677734375
3,24,28137,0.10733413696289062
3,25,68556,0.2615203857421875
3,26,32144,0.12261962890625
3,27,6162,0.02350616455078125
3,28,2554,0.00974273681640625
3,29,16943,0.06463241577148438
3,30,4567,0.017421722412109375
3,31,27240,0.103912353515625
3,32,4114,0.01569366455078125
3,33,358,0.00136566162109375
3,34,31596,0.1205291748046875
3,35,14946,0.05701446533203125
3,36,13814,0.05269622802734375
3,37,23666,0.09027862548828125
3,38,21407,0.08166122436523438
3,39,9020,0.0344085693359375
3,40,11669,0.044513702392578125
3,41,16199,0.061794281005859375
3,42,7988,0.0304718017578125
3,43,57,0.000217437744140625
3,44,31,0.000118255615234375
3,45,7425,0.028324127197265625
3,46,2701,0.010303497314453125
3,47,1927,0.007350921630859375
3,48,1715,0.006542205810546875
3,49,11573,0.044147491455078125
3,50,7165,0.027332305908203125
3,51,4846,0.01848602294921875
3,52,63,0.000240325927734375
3,53,40999,0.15639877319335938
3,54,116545,0.4445838928222656
3,55,10079,0.038448333740234375
3,56,2775,0.010585784912109375
3,57,115,0.000438690185546875
3,58,9,3.4332275390625e-05
3,59,31841,0.12146377563476562
3,60,23118,0.08818817138671875
3,61,43255,0.16500473022460938
3,62,37137,0.14166641235351562
3,63,1870,0.00713348388671875
3,64,35127,0.13399887084960938
3,65,111,0.000423431396484375
3,66,7830,0.02986907958984375
3,67,4142,0.01580047607421875
3,68,1683,0.006420135498046875
3,69,5512,0.021026611328125
3,70,37010,0.14118194580078125
3,71,8990,0.03429412841796875
3,72,11140,0.0424957275390625
3,73,38959,0.14861679077148438
3,74,48255,0.18407821655273438
