layer,expert,routed_tokens,rows,f_at_k6,range_nar_over_hadamard,predicted_sqrt_1_minus_f
2,92,2963,256,0.9999663668768627,0.054084087396063116,0.005799407136708979
2,93,29358,256,0.4497676471379797,0.7010524514847721,0.7417764844358578
2,94,87499,256,0.20592939997845353,0.8455604418736615,0.8911063909666155
2,95,7334,256,0.36109253710253847,0.8152280303471121,0.7993168726465504
2,97,24172,256,0.14057967223743395,0.9004488808710773,0.9270492585416192
2,98,2513,256,0.7634609856181942,0.4239439374098999,0.48635276742484546
2,99,35782,256,0.6571012037145083,0.5828328056879254,0.5855756110746858
2,100,27742,256,0.1734380504561181,0.8793980632962851,0.9091545245687785
2,101,8564,256,0.6254376283534314,0.7014404681249291,0.6120150093311181
2,103,1411,256,0.5706263978002568,0.9117247091443543,0.6552660545150674
2,104,47926,256,0.11097092609225515,0.9042517412005677,0.9428833829842082
2,106,103,103,0.6248957248271686,0.9293796983877612,0.6124575701000285
2,107,14468,256,0.09869778776870711,0.790206783907311,0.9493693760761893
2,108,3013,256,0.13844119501832836,0.807582484822308,0.9282019203716784
2,109,226,226,0.6114663086132665,0.9128973375536878,0.623324707826293
2,110,1013,256,0.6001835049316413,0.7091311593700887,0.632310442004842
2,111,4857,256,0.1690141289335718,0.8519318320352046,0.9115842643806595
2,112,15572,256,0.16417954885164024,0.8250344722749547,0.9142321647964262
2,113,303,256,0.6143967149015663,0.7696758540537608,0.6209696329921727
2,115,19057,256,0.44322959723372307,0.7851343376657163,0.7461704917552536
2,116,41652,256,0.13238429666580226,0.8826034331490188,0.9314589112431089
2,117,31513,256,0.16374666983611022,0.8477807861412503,0.9144688787290084
2,118,29473,256,0.08971290816389253,0.8880501455696529,0.9540896665597566
2,119,28103,256,0.18799557594084182,0.8280049911338357,0.901112880864078
2,120,24942,256,0.072098513117986,0.8232389444349413,0.9632764332641041
2,121,19934,256,0.1143292023376866,0.8301962141411575,0.9411008435137614
2,122,32241,256,0.2013674492342921,0.8136138995081466,0.8936624366983923
2,123,32058,256,0.18961040938145698,0.8421950623929495,0.9002164132132578
2,124,683,256,0.6138971934063061,0.6053812763089507,0.621371713705809
2,125,86897,256,0.08637224711023435,0.8791267022722346,0.9558387692962478
2,126,15871,256,0.09739428991493228,0.8035726242631546,0.950055635257782
2,127,14738,256,0.13399995364983466,0.8836959430174285,0.9305912348341593
3,0,9680,256,0.04896427583168586,0.9216362240815955,0.9752106050327356
3,1,31453,256,0.0522001455387387,0.9143785704756039,0.9735501294033406
3,2,33363,256,0.14706605458383912,0.8778028297253815,0.9235442303518336
3,3,6751,256,0.0977859446668333,0.9368543953207681,0.9498494908843015
3,4,14910,256,0.27767402887777654,0.8131280266856311,0.8498976239066818
3,5,5716,256,0.08096082131850574,0.9059633255023228,0.9586653110869789
3,6,32424,256,0.3028555968823848,0.8246281029534515,0.8349517369989808
3,7,26698,256,0.0879570152077017,0.8927266069104772,0.955009416075202
3,9,28891,256,0.1432099906889144,0.6042810948362526,0.9256295205486295
3,10,32985,256,0.07427518766478343,0.9127958626307457,0.962145941287088
3,11,29561,256,0.059395047398564625,0.8852070396424437,0.9698479017874068
3,12,11979,256,0.09664686096496503,0.8703450262852817,0.9504489144793817
3,13,26423,256,0.12000038104001427,0.8961933800377951,0.9380829488696539
3,14,77,77,0.3832652695257538,0.7641121603498019,0.7853246019794912
3,15,165,165,0.3685055096780622,0.9258493111305324,0.7946662760693559
3,17,8948,256,0.590007749354361,0.6251581355027482,0.6403063724855774
3,18,2217,256,0.09796167929237484,0.8709867771887432,0.9497569798151657
3,19,26650,256,0.07212909745832252,0.9052913525484366,0.96326055797052
