model,method,layer,direction,s_i,top_magnitude_channel
llama31_8b,smoothquant_hadamard,9,v2,0.00023966046865098178,2932
llama31_8b,smoothquant_hadamard,9,v3,9.87611201708205e-05,2932
llama31_8b,smoothquant_hadamard,9,v4,0.0001516499905847013,2932
llama31_8b,smoothquant_hadamard,9,v5,0.00016295176465064287,2932
llama31_8b,smoothquant_hadamard,9,v6,0.00017200327420141548,2932
llama31_8b,smoothquant_hadamard,9,v7,8.621692541055381e-05,2932
llama31_8b,smoothquant_hadamard,9,v8,0.00010433483839733526,2932
llama31_8b,smoothquant_hadamard,9,top_magnitude_channel,0.0,2932
llama31_8b,duquant_style,9,v1,0.7743959426879883,2932
llama31_8b,duquant_style,9,v2,0.6780179142951965,2932
llama31_8b,duquant_style,9,v3,0.5673603415489197,2932
llama31_8b,duquant_style,9,v4,0.7272105813026428,2932
llama31_8b,duquant_style,9,v5,0.7123143672943115,2932
llama31_8b,duquant_style,9,v6,0.6040798425674438,2932
llama31_8b,duquant_style,9,v7,0.7091016173362732,2932
llama31_8b,duquant_style,9,v8,0.7202994227409363,2932
llama31_8b,duquant_style,9,top_magnitude_channel,0.9999999403953552,2932
llama31_8b,nar,9,v1,0.9999999403953552,2932
llama31_8b,nar,9,v2,1.000000238418579,2932
llama31_8b,nar,9,v3,0.9999997019767761,2932
llama31_8b,nar,9,v4,1.000000238418579,2932
llama31_8b,nar,9,v5,0.9999999403953552,2932
llama31_8b,nar,9,v6,0.9999999403953552,2932
llama31_8b,nar,9,v7,1.0,2932
llama31_8b,nar,9,v8,0.9999998807907104,2932
llama31_8b,nar,9,top_magnitude_channel,0.8058135509490967,2932
llama31_8b,hadamard,10,v1,0.0011967748869210482,2932
llama31_8b,hadamard,10,v2,0.005772341508418322,2932
llama31_8b,hadamard,10,v3,0.0011366551043465734,2932
llama31_8b,hadamard,10,v4,0.0038505771663039923,2932
llama31_8b,hadamard,10,v5,0.002703386591747403,2932
llama31_8b,hadamard,10,v6,0.0018285891273990273,2932
llama31_8b,hadamard,10,v7,0.0012972980039194226,2932
llama31_8b,hadamard,10,v8,0.0036467763129621744,2932
llama31_8b,hadamard,10,top_magnitude_channel,0.0,2932
llama31_8b,smoothquant_hadamard,10,v1,7.16488721081987e-05,2932
llama31_8b,smoothquant_hadamard,10,v2,0.00033852728665806353,2932
llama31_8b,smoothquant_hadamard,10,v3,8.534995140507817e-05,2932
llama31_8b,smoothquant_hadamard,10,v4,0.00022585675469599664,2932
llama31_8b,smoothquant_hadamard,10,v5,0.00015739654190838337,2932
llama31_8b,smoothquant_hadamard,10,v6,0.0001347523066215217,2932
llama31_8b,smoothquant_hadamard,10,v7,9.094415145227686e-05,2932
llama31_8b,smoothquant_hadamard,10,v8,0.00022313740919344127,2932
llama31_8b,smoothquant_hadamard,10,top_magnitude_channel,0.0,2932
llama31_8b,duquant_style,10,v1,0.7616897821426392,2932
llama31_8b,duquant_style,10,v2,0.6702070236206055,2932
llama31_8b,duquant_style,10,v3,0.6505531668663025,2932
llama31_8b,duquant_style,10,v4,0.7209389209747314,2932
llama31_8b,duquant_style,10,v5,0.7265022993087769,2932
llama31_8b,duquant_style,10,v6,0.5642279386520386,2932
llama31_8b,duquant_style,10,v7,0.6897013187408447,2932
llama31_8b,duquant_style,10,v8,0.5964272022247314,2932
llama31_8b,duquant_style,10,top_magnitude_channel,0.9999999403953552,2932
llama31_8b,nar,10,v1,0.9999998807907104,2932
llama31_8b,nar,10,v2,0.9999998211860657,2932
llama31_8b,nar,10,v3,0.9999999403953552,2932
llama31_8b,nar,10,v4,0.9999998807907104,2932
llama31_8b,nar,10,v5,0.9999999403953552,2932
llama31_8b,nar,10,v6,0.9999999403953552,2932
llama31_8b,nar,10,v7,1.0000003576278687,2932
llama31_8b,nar,10,v8,1.0,2932
llama31_8b,nar,10,top_magnitude_channel,0.8183543086051941,2932
llama31_8b,hadamard,11,v1,0.0007745579350739717,2932
llama31_8b,hadamard,11,v2,0.0023329092655330896,2932
llama31_8b,hadamard,11,v3,0.0017913945484906435,2932
llama31_8b,hadamard,11,v4,0.0026936985086649656,2932
llama31_8b,hadamard,11,v5,0.001315613160841167,2932
llama31_8b,hadamard,11,v6,0.0016781125450506806,2932
llama31_8b,hadamard,11,v7,0.0014751334674656391,2932
llama31_8b,hadamard,11,v8,0.0020688679069280624,2932
llama31_8b,hadamard,11,top_magnitude_channel,0.0,2932
llama31_8b,smoothquant_hadamard,11,v1,4.7178884415188804e-05,2932
llama31_8b,smoothquant_hadamard,11,v2,0.0001165052963187918,2932
llama31_8b,smoothquant_hadamard,11,v3,0.00011293617717456073,2932
llama31_8b,smoothquant_hadamard,11,v4,0.00014059562818147242,2932
llama31_8b,smoothquant_hadamard,11,v5,7.427619129884988e-05,2932
llama31_8b,smoothquant_hadamard,11,v6,0.00010807863873196766,2932
llama31_8b,smoothquant_hadamard,11,v7,9.957035217666999e-05,2932
llama31_8b,smoothquant_hadamard,11,v8,0.00012916991545353085,2932
llama31_8b,smoothquant_hadamard,11,top_magnitude_channel,0.0,2932
llama31_8b,duquant_style,11,v1,0.7824676632881165,2932
llama31_8b,duquant_style,11,v2,0.7212624549865723,2932
llama31_8b,duquant_style,11,v3,0.6678692698478699,2932
llama31_8b,duquant_style,11,v4,0.6859723925590515,2932
llama31_8b,duquant_style,11,v5,0.7245442867279053,2932
llama31_8b,duquant_style,11,v6,0.6828411817550659,2932
llama31_8b,duquant_style,11,v7,0.6867843866348267,2932
llama31_8b,duquant_style,11,v8,0.6957704424858093,2932
llama31_8b,duquant_style,11,top_magnitude_channel,0.9999999403953552,2932
llama31_8b,nar,11,v1,0.9999998807907104,2932
