model,site,layer,method,selected_tokens,selected_bos,selected_sequences,bos_fraction,indices_sha256,values_sha256,selection_artifact
llama31_8b,qkv,20,C_top1pct_no_bos,2621,0,123,0.0,68b9f93a4f1c17737a6eb0d0b351217d1c82f9e86ffe7d2656628c2c3a9f0308,f55151cd941395f71cd48599c69758a8b09bf6e53ab8c430b5206cc712408ceb,qkv_layer_20.selection.pt
llama31_8b,qkv,21,B_top1,128,0,128,0.0,ad46463b43cf609c5b9c74d2c82fdf71c0fb42a801b2c855bb098b22f5ebfb61,1405f4a23f3f764e45698b78ecabc5c49d40ff2572071946f3f93d9565b0003e,qkv_layer_21.selection.pt
llama31_8b,qkv,21,B_top1_no_bos,128,0,128,0.0,ad46463b43cf609c5b9c74d2c82fdf71c0fb42a801b2c855bb098b22f5ebfb61,1405f4a23f3f764e45698b78ecabc5c49d40ff2572071946f3f93d9565b0003e,qkv_layer_21.selection.pt
llama31_8b,qkv,21,C_top1pct,2622,0,125,0.0,b591c8c7579064cd3afddf6c40e2d02bac88a248abee3c28e72b082b3c7f35fc,e8ea9539c2abbd5dc27280aea9eb372009f96d77ae7cbabae96d4da0b88b52b4,qkv_layer_21.selection.pt
llama31_8b,qkv,21,C_top1pct_no_bos,2621,0,125,0.0,c0ab0c93d60223491eb8c2fc3b430896029560738efdce5849d7876fc268562d,4b7228f6c049ce1b6ab199bcc3dd89e332ba9bffe99545db14e8be707a75ddcd,qkv_layer_21.selection.pt
llama31_8b,qkv,22,B_top1,128,0,128,0.0,cc237630207b5f83f3c6d3a1346cf8ad8e8093b50f327cba3562a2df25e2627a,cc2f56fab51a77dfbfbd316e89e029cab3d95fb3f7c815c1d5b992c06ff08fc3,qkv_layer_22.selection.pt
llama31_8b,qkv,22,B_top1_no_bos,128,0,128,0.0,cc237630207b5f83f3c6d3a1346cf8ad8e8093b50f327cba3562a2df25e2627a,cc2f56fab51a77dfbfbd316e89e029cab3d95fb3f7c815c1d5b992c06ff08fc3,qkv_layer_22.selection.pt
llama31_8b,qkv,22,C_top1pct,2622,0,119,0.0,70557ba59926dd7a25cf87a58578e928bdd0716136f55d91d407c1abc4617711,e3a811a660c437fba9dc3373794fcfe7a626dd6be1961beb2d32b4afde33bdf2,qkv_layer_22.selection.pt
llama31_8b,qkv,22,C_top1pct_no_bos,2621,0,119,0.0,6a8632b79873b176f8be401d864a6891fbbd04930c553bfd0269bfc46141ec8a,df2c24ce98fff5ce5519bcf941251524dc19b78f6632f4339b6b5962acd295e3,qkv_layer_22.selection.pt
llama31_8b,qkv,23,B_top1,128,0,128,0.0,f97891a264d0e417a2a96064f32b37a196e8a22ab8027c01d9ab003a4062fa59,2d4408f55d9b4aeda6ab40268073b70d34b54d66e392d0a7b1c6b4e2699e831a,qkv_layer_23.selection.pt
