model,row,method,group,m,seed,chunk,nll,tokens_scored,effective_bits,slots,coeff,bit_accounted
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,26,2.256067991256714,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,27,2.086395025253296,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,28,1.791900873184204,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,29,1.6128956079483032,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,30,1.4506419897079468,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,31,1.4904203414916992,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,32,1.8409171104431152,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,33,1.8046855926513672,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,34,1.964733362197876,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,35,1.304755449295044,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,36,1.322847604751587,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,37,1.3129992485046387,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,38,1.3131431341171265,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,39,1.518535852432251,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,40,2.0704572200775146,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,41,2.5489649772644043,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,42,2.547945499420166,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,43,2.0524368286132812,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,44,2.0621235370635986,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,45,2.109917640686035,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,46,2.188642978668213,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,47,2.0375850200653076,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,48,1.8418910503387451,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,49,1.8498178720474243,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,50,1.545853853225708,2047,4.5,0,,
