model,method,seed,sequence,nll,tokens_scored,source,weight_fold_max_relative_error
llama31_8b,nar_b128_k64,20260903,57,1.6355103254318237,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,58,1.9453885555267334,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,59,2.1602818965911865,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,60,2.183203935623169,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,61,2.300917387008667,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,62,1.2819749116897583,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,63,1.741376280784607,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260904,0,1.576978087425232,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,1,2.20626163482666,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,2,2.2831387519836426,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,3,1.8450599908828735,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,4,1.7323682308197021,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,5,1.3044936656951904,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,6,1.3326877355575562,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,7,1.7116450071334839,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,8,2.0249674320220947,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,9,1.8465408086776733,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,10,1.7452889680862427,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,11,2.0713109970092773,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,12,1.9683946371078491,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,13,2.079374074935913,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,14,1.9994734525680542,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,15,2.2289721965789795,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,16,1.9410909414291382,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,17,1.9275587797164917,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,18,1.5633150339126587,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,19,1.8725922107696533,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,20,1.9933546781539917,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,21,1.9499605894088745,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,22,1.946926236152649,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,23,2.0130774974823,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,24,2.0589797496795654,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,25,2.17399263381958,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,26,2.250898838043213,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,27,2.0742645263671875,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,28,1.794464111328125,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,29,1.6005420684814453,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,30,1.4418542385101318,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,31,1.477095603942871,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,32,1.82778799533844,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,33,1.798046588897705,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,34,1.9568347930908203,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,35,1.3033220767974854,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,36,1.312193512916565,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,37,1.3151227235794067,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
llama31_8b,nar_b128_k64,20260904,38,1.3013391494750977,2047,supplementary E11 k64 measurement for Figure 4,0.0027305681724101305
