model,row,site,layer,seed,group,m,k,s_meas,s_hadamard,f_calibration,f_test_capture,s_pred,relative_error,observations,groups_measured,f_definition
llama31_8b,E20_nar_g256_m2,qkv,6,0,256,2,32,0.10940740300436325,0.15001526622385342,0.4259697496891022,0.41584236668232494,0.11365874250609706,0.03885787784912752,131072,2097152,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_nar_g256_m2,qkv,6,1,256,2,32,0.1094304893099256,0.1500550497072446,0.4259697496891022,0.41584236674672453,0.11368888437637849,0.03891415539952846,131072,2097152,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_nar_g256_m2,qkv,6,2,256,2,32,0.10937260438123708,0.1501266305336344,0.4259697496891022,0.41584236674690006,0.11374311743491848,0.03995985172344641,131072,2097152,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_nar_g256_m3,qkv,6,0,256,3,48,0.10646041193690792,0.15001526622385342,0.464281290769577,0.4531253809244498,0.10980038525915609,0.0313729137571584,131072,2097152,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_nar_g256_m3,qkv,6,1,256,3,48,0.10651148104278718,0.1500550497072446,0.4642813205718994,0.4531253810604288,0.10982950085269524,0.031151757326284543,131072,2097152,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_nar_g256_m3,qkv,6,2,256,3,48,0.10645898793021402,0.1501266305336344,0.464281290769577,0.4531253809338692,0.10988189592420951,0.032152362713040915,131072,2097152,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_nar_g128_m2,qkv,6,0,128,2,64,0.09607352669918434,0.13784977132414689,0.49003538489341736,0.4775524591663668,0.09844101237827682,0.02464243543911227,131072,4194304,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_nar_g128_m2,qkv,6,1,128,2,64,0.09608609253220779,0.1378857192881089,0.49003535509109497,0.47755245912403843,0.09846668634604698,0.024775633508472856,131072,4194304,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_nar_g128_m2,qkv,6,2,128,2,64,0.09603429657033136,0.13792711508496502,0.49003535509109497,0.47755245914144234,0.0984962478333868,0.02563616698386931,131072,4194304,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_nar_g128_m2_c32,qkv,6,0,128,2,64,0.09607352669918434,0.13784977132414689,0.49003538489341736,0.4775524591663668,0.09844101237827682,0.02464243543911227,131072,4194304,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_nar_g128_m2_c32,qkv,6,1,128,2,64,0.09608609253220779,0.1378857192881089,0.49003535509109497,0.47755245912403843,0.09846668634604698,0.024775633508472856,131072,4194304,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_nar_g128_m2_c32,qkv,6,2,128,2,64,0.09603429657033136,0.13792711508496502,0.49003535509109497,0.47755245914144234,0.0984962478333868,0.02563616698386931,131072,4194304,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_nar_g256_m3_c32,qkv,6,0,256,3,48,0.10646041193690792,0.15001526622385342,0.464281290769577,0.4531253809244498,0.10980038525915609,0.0313729137571584,131072,2097152,E11 energy-weighted P_N capture; frozen E20 construction
