layer,group,module,columns,rows,hessian_sequences,dead_columns,damp,groupsize,blocksize,act_order,symmetric,cholesky_float64,hessian_dtype,product_dtype,hessian_diag_max_over_median,hessian_diag_mean_over_median,damp_over_median_diag,null_slot_diag_share,null_slot_baseline,null_space_dc_share,hessian_participation_ratio,rows_clipped,mean_shrink,clipped_row_null_slot_mass_share,unclipped_row_null_slot_mass_share
41,0,self_attn.k_proj,2048,512,128,0,40.9599609375,128,128,False,False,False,torch.float32,torch.float32,9.451562919668305,1.4783956078506568,0.014783956078506568,0.007041013529522209,0.0078125,0.41652379419688623,6.330453839176186,512,0.7844921350479126,0.007754114456474781,nan
41,0,self_attn.v_proj,2048,512,128,0,40.9599609375,128,128,False,False,False,torch.float32,torch.float32,9.451562919668305,1.4783956078506568,0.014783956078506568,0.007041013529522209,0.0078125,0.41652379419688623,6.330453839176186,512,0.7839257717132568,0.007957767695188522,nan
41,0,self_attn.q_proj,2048,4096,128,0,40.9599609375,128,128,False,False,False,torch.float32,torch.float32,9.451562919668305,1.4783956078506568,0.014783956078506568,0.007041013529522209,0.0078125,0.41652379419688623,6.330453839176186,4096,0.7849023342132568,0.007888372987508774,nan
41,1,self_attn.o_proj,4096,2048,128,0,0.6883818507194519,128,128,False,False,False,torch.float32,torch.float32,11.337403094233366,1.7256131105729091,0.01725613110572909,0.007103250998391955,0.0078125,0.10320904199037124,39.52593734865469,2048,0.7215673923492432,0.0076292650774121284,nan
42,0,self_attn.k_proj,2048,512,128,0,40.95996856689453,128,128,False,False,False,torch.float32,torch.float32,9.125497083403443,1.4703224907454149,0.014703224907454147,0.007093921212612138,0.0078125,0.43050259927116574,6.571565385398957,512,0.7834374904632568,0.007801548577845097,nan
42,0,self_attn.v_proj,2048,512,128,0,40.95996856689453,128,128,False,False,False,torch.float32,torch.float32,9.125497083403443,1.4703224907454149,0.014703224907454147,0.007093921212612138,0.0078125,0.43050259927116574,6.571565385398957,512,0.7885546684265137,0.0078832246363163,nan
42,0,self_attn.q_proj,2048,4096,128,0,40.95996856689453,128,128,False,False,False,torch.float32,torch.float32,9.125497083403443,1.4703224907454149,0.014703224907454147,0.007093921212612138,0.0078125,0.43050259927116574,6.571565385398957,4096,0.7841723561286926,0.007796816993504763,nan
42,1,self_attn.o_proj,4096,2048,128,0,1.1819233894348145,128,128,False,False,False,torch.float32,torch.float32,8.29297098048923,1.3114671482355853,0.013114671482355855,0.0076065475709035804,0.0078125,0.06570776061024133,75.17425649182714,2048,0.7225683927536011,0.007672048639506102,nan
43,0,self_attn.k_proj,2048,512,128,0,40.9599723815918,128,128,False,False,False,torch.float32,torch.float32,8.684064390695266,1.4438134764145878,0.014438134764145879,0.0070627452546476,0.0078125,0.42223660019651665,6.959946236004543,512,0.7850390672683716,0.007884630002081394,nan
43,0,self_attn.v_proj,2048,512,128,0,40.9599723815918,128,128,False,False,False,torch.float32,torch.float32,8.684064390695266,1.4438134764145878,0.014438134764145879,0.0070627452546476,0.0078125,0.42223660019651665,6.959946236004543,512,0.7874609231948853,0.007808712311089039,nan
